,Ecology
0,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=54590&GenusName=Aapticheilichthys&SpeciesName=websteri
1,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=15001&GenusName=Aaptosyax&SpeciesName=grypus
2,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=15&GenusName=Abalistes&SpeciesName=stellaris
3,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18177&GenusName=Abbottina&SpeciesName=rivularis
4,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=8360&GenusName=Ablabys&SpeciesName=binotatus
5,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=10555&GenusName=Ablabys&SpeciesName=taenianotus
6,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=988&GenusName=Ablennes&SpeciesName=hians
7,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=58525&GenusName=Aborichthys&SpeciesName=cataracta
8,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=19442&GenusName=Aborichthys&SpeciesName=elongatus
9,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=58526&GenusName=Aborichthys&SpeciesName=verticauda
10,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=58934&GenusName=Aborichthys&SpeciesName=waikhomi
11,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=282&GenusName=Abramis&SpeciesName=brama
12,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=11091&GenusName=Abramites&SpeciesName=hypselonotus
13,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6972&GenusName=Abudefduf&SpeciesName=abdominalis
14,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6838&GenusName=Abudefduf&SpeciesName=bengalensis
15,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=12117&GenusName=Abudefduf&SpeciesName=concolor
16,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5978&GenusName=Abudefduf&SpeciesName=lorenzi
17,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=12149&GenusName=Abudefduf&SpeciesName=margariteus
18,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=12151&GenusName=Abudefduf&SpeciesName=natalensis
19,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5979&GenusName=Abudefduf&SpeciesName=notatus
20,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1135&GenusName=Abudefduf&SpeciesName=saxatilis
21,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5980&GenusName=Abudefduf&SpeciesName=septemfasciatus
22,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5981&GenusName=Abudefduf&SpeciesName=sexfasciatus
23,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5982&GenusName=Abudefduf&SpeciesName=sordidus
24,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=8329&GenusName=Abudefduf&SpeciesName=sparoides
25,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1136&GenusName=Abudefduf&SpeciesName=taurus
26,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=8558&GenusName=Abudefduf&SpeciesName=troschelii
27,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6950&GenusName=Abudefduf&SpeciesName=vaigiensis
28,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=9950&GenusName=Abudefduf&SpeciesName=whitleyi
29,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=39735&GenusName=Abyssocottus&SpeciesName=korotneffi
30,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=42936&GenusName=Acanthaluteres&SpeciesName=spilomelanurus
31,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=14305&GenusName=Acanthaluteres&SpeciesName=vittiger
32,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=46358&GenusName=Acanthanectes&SpeciesName=hystrix
33,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=46359&GenusName=Acanthanectes&SpeciesName=rufus
34,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=3904&GenusName=Acanthemblemaria&SpeciesName=aspera
35,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=39341&GenusName=Acanthemblemaria&SpeciesName=balanorum
36,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=39343&GenusName=Acanthemblemaria&SpeciesName=crockeri
37,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=39347&GenusName=Acanthemblemaria&SpeciesName=exilispinus
38,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=39351&GenusName=Acanthemblemaria&SpeciesName=hancocki
39,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=39359&GenusName=Acanthemblemaria&SpeciesName=macrospilus
40,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=39360&GenusName=Acanthemblemaria&SpeciesName=stephensi
