,Diet_Composition
0,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=9&GenusName=Abalistes&SpeciesName=stellaris&stockcode=15
1,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=268&GenusName=Abramis&SpeciesName=brama&stockcode=282
2,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6652&GenusName=Abudefduf&SpeciesName=abdominalis&stockcode=6972
3,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1119&GenusName=Abudefduf&SpeciesName=saxatilis&stockcode=1135
4,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5688&GenusName=Abudefduf&SpeciesName=sexfasciatus&stockcode=5981
5,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5689&GenusName=Abudefduf&SpeciesName=sordidus&stockcode=5982
6,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1120&GenusName=Abudefduf&SpeciesName=taurus&stockcode=1136
7,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6630&GenusName=Abudefduf&SpeciesName=vaigiensis&stockcode=6950
8,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=57960&GenusName=Acanthistius&SpeciesName=pictus&stockcode=47526
9,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=89&GenusName=Acanthocybium&SpeciesName=solandri&stockcode=104
10,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3832&GenusName=Acanthogobius&SpeciesName=flavimanus&stockcode=4028
11,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=13045&GenusName=Acanthogobius&SpeciesName=hasta&stockcode=13368
12,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3771&GenusName=Acantholumpenus&SpeciesName=mackayi&stockcode=3967
13,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=67314&GenusName=Acanthopagrus&SpeciesName=arabicus&stockcode=58558
14,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=65896&GenusName=Acanthopagrus&SpeciesName=pacificus&stockcode=56136
