name,predators
Ablennes hians,"['Anous stolidus', 'Sterna fuscata', 'Sphyraena barracuda']"
Abramis brama,"['Anguilla anguilla', 'Triplophysa strauchii', 'Esox lucius', 'Perca schrenkii', 'Sander lucioperca']"
Abudefduf saxatilis,"['Plectropomus leopardus', 'Thalassoma bifasciatum', 'Cephalopholis cruentata', 'Epinephelus striatus', 'Mycteroperca venenosa', 'Rachycentron canadum']"
Abudefduf troschelii,['Holacanthus passer']
Abudefduf vaigiensis,['Lobotes surinamensis']
Acanthistius brasilianus,['Phalacrocorax atriceps']
Acanthistius sebastoides,"['Carcharhinus brachyurus', 'Carcharhinus obscurus']"
Acanthochromis polyacanthus,['Plectropomus  leopardus']
Acanthocybium solandri,['Carcharhinus albimarginatus']
Acanthogobius flavimanus,"['Lophius litulon', 'Okamejei kenojei', 'Sillago japonica', 'Triakis semifasciata', 'Acanthogobius lactipes', 'Lateolabrax japonicus']"
Acantholumpenus mackayi,['Hemitripterus villosus']
Acanthopagrus berda,"['Haliaeetus vocifer', 'Carcharhinus limbatus', 'Crocodylus niloticus', 'Hydroprogne tschegrava']"
Acanthurus chirurgus,['Thunnus albacares']
Acanthurus coeruleus,"['Thunnus albacares', 'Mycteroperca tigris', 'Caranx ruber']"
Acanthurus lineatus,['Epinephelus merra']
Acanthurus nigrofuscus,"['Aulostomus chinensis', 'Cephalopholis argus', 'Cephalopholis miniata']"
Acanthurus nigroris,['Caranx melampygus']
Acanthurus tractus,"['Lutjanus analis', 'Mycteroperca tigris', 'Mycteroperca venenosa', 'Aulostomus maculatus', 'Sphyraena barracuda']"
Acanthurus triostegus,"['Cephalopholis argus', 'Conger cinereus', 'Fistularia petimba', 'Lutjanus fulvus', 'Epinephelus merra']"
Acapoeta tanganicae,['Perissodus microlepis']
Acentrogobius pflaumii,"['Cynoglossus semilaevis', 'Sillago japonica', 'Sphyraena pinguis']"
Achirus achirus,['Carcharhinus porosus']
Acipenser fulvescens,"['Ichthyomyzon unicuspis', 'Petromyzon marinus']"
Acipenser oxyrinchus,['Ichthyomyzon unicuspis']
