,Species_with_Information_on_Predators
0,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=972&GenusName=Ablennes&SpeciesName=hians
1,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=268&GenusName=Abramis&SpeciesName=brama
2,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1119&GenusName=Abudefduf&SpeciesName=saxatilis
3,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=8245&GenusName=Abudefduf&SpeciesName=troschelii
4,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6630&GenusName=Abudefduf&SpeciesName=vaigiensis
5,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=351&GenusName=Acanthistius&SpeciesName=brasilianus
6,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7920&GenusName=Acanthistius&SpeciesName=sebastoides
7,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6655&GenusName=Acanthochromis&SpeciesName=polyacanthus
8,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=89&GenusName=Acanthocybium&SpeciesName=solandri
9,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3832&GenusName=Acanthogobius&SpeciesName=flavimanus
10,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3771&GenusName=Acantholumpenus&SpeciesName=mackayi
11,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=5526&GenusName=Acanthopagrus&SpeciesName=berda
12,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=943&GenusName=Acanthurus&SpeciesName=chirurgus
13,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=944&GenusName=Acanthurus&SpeciesName=coeruleus
14,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1258&GenusName=Acanthurus&SpeciesName=lineatus
15,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4739&GenusName=Acanthurus&SpeciesName=nigrofuscus
16,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4738&GenusName=Acanthurus&SpeciesName=nigroris
17,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=942&GenusName=Acanthurus&SpeciesName=tractus
18,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1260&GenusName=Acanthurus&SpeciesName=triostegus
19,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=11272&GenusName=Acapoeta&SpeciesName=tanganicae
20,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=23585&GenusName=Acentrogobius&SpeciesName=pflaumii
21,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7572&GenusName=Achirus&SpeciesName=achirus
22,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2591&GenusName=Acipenser&SpeciesName=fulvescens
23,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2593&GenusName=Acipenser&SpeciesName=oxyrinchus
24,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2594&GenusName=Acipenser&SpeciesName=transmontanus
25,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2741&GenusName=Acrocheilus&SpeciesName=alutaceus
26,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=5509&GenusName=Acroteriobatus&SpeciesName=annulatus
27,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7037&GenusName=Aethotaxis&SpeciesName=mitopteryx
28,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1250&GenusName=Aetobatus&SpeciesName=narinari
29,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=57010&GenusName=Afurcagobius&SpeciesName=suppositus
30,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=52422&GenusName=Afurcagobius&SpeciesName=tamarensis
31,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=12932&GenusName=Agonopsis&SpeciesName=chiloensis
32,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=36&GenusName=Agonus&SpeciesName=cataphractus
33,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=8435&GenusName=Albatrossia&SpeciesName=pectoralis
34,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4730&GenusName=Alburnus&SpeciesName=alburnus
35,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=25857&GenusName=Alburnus&SpeciesName=belvica
36,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=48172&GenusName=Alburnus&SpeciesName=hohenackeri
37,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=61290&GenusName=Alcichthys&SpeciesName=elongatus
38,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=12938&GenusName=Aldrichetta&SpeciesName=forsteri
39,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=988&GenusName=Alectis&SpeciesName=ciliaris
40,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1889&GenusName=Alepes&SpeciesName=djedaba
41,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2728&GenusName=Alepisaurus&SpeciesName=brevirostris
42,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=99&GenusName=Alepisaurus&SpeciesName=ferox
43,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=26397&GenusName=Allomogurnda&SpeciesName=nesolepis
44,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2694&GenusName=Allosmerus&SpeciesName=elongatus
45,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1574&GenusName=Alosa&SpeciesName=aestivalis
46,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1576&GenusName=Alosa&SpeciesName=braschnikowi
47,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1577&GenusName=Alosa&SpeciesName=caspia
48,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1583&GenusName=Alosa&SpeciesName=pseudoharengus
49,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1584&GenusName=Alosa&SpeciesName=sapidissima
50,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=8135&GenusName=Altolamprologus&SpeciesName=compressiceps
51,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4273&GenusName=Aluterus&SpeciesName=heudelotii
52,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1081&GenusName=Aluterus&SpeciesName=schoepfii
53,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4275&GenusName=Aluterus&SpeciesName=scriptus
54,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=61467&GenusName=Ambassis&SpeciesName=ambassis
55,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=5153&GenusName=Ambassis&SpeciesName=interrupta
56,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=8016&GenusName=Ambassis&SpeciesName=natalensis
57,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3361&GenusName=Ambloplites&SpeciesName=rupestris
58,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=15855&GenusName=Amblychaeturichthys&SpeciesName=hexanema
59,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7197&GenusName=Amblygobius&SpeciesName=decussatus
60,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7198&GenusName=Amblygobius&SpeciesName=phalaena
61,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2565&GenusName=Amblyraja&SpeciesName=radiata
62,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3018&GenusName=Ameiurus&SpeciesName=catus
63,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3022&GenusName=Ameiurus&SpeciesName=nebulosus
64,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=13009&GenusName=Amioides&SpeciesName=polyacanthus
65,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3820&GenusName=Ammodytes&SpeciesName=americanus
66,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3821&GenusName=Ammodytes&SpeciesName=dubius
67,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3822&GenusName=Ammodytes&SpeciesName=hexapterus
68,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=37&GenusName=Ammodytes&SpeciesName=marinus
69,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=487&GenusName=Ammodytes&SpeciesName=personatus
70,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=38&GenusName=Ammodytes&SpeciesName=tobianus
71,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=58285&GenusName=Ammodytoides&SpeciesName=leptus
72,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=59627&GenusName=Ammolabrus&SpeciesName=dicrus
73,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=14925&GenusName=Amniataba&SpeciesName=percoides
74,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=954&GenusName=Amphiarius&SpeciesName=phrygiatus
75,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=957&GenusName=Amphiarius&SpeciesName=rugispinis
76,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4551&GenusName=Amphiprion&SpeciesName=chrysopterus
77,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4654&GenusName=Amphiprion&SpeciesName=melanopus
78,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2024&GenusName=Amphiprion&SpeciesName=perideraion
79,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4655&GenusName=Amphiprion&SpeciesName=tricinctus
80,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=495&GenusName=Anabas&SpeciesName=testudineus
81,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7379&GenusName=Anableps&SpeciesName=anableps
82,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2501&GenusName=Anarhichas&SpeciesName=lupus
83,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1133&GenusName=Anchoa&SpeciesName=hepsetus
84,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1688&GenusName=Anchoa&SpeciesName=lamprotaenia
85,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=545&GenusName=Anchoa&SpeciesName=mitchilli
86,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1163&GenusName=Anchoa&SpeciesName=nasus
87,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=535&GenusName=Anchoa&SpeciesName=parva
88,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=538&GenusName=Anchoa&SpeciesName=spinifer
89,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=543&GenusName=Anchovia&SpeciesName=clupeoides
90,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1675&GenusName=Anchoviella&SpeciesName=lepidentostole
91,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1678&GenusName=Anchoviella&SpeciesName=perfasciata
92,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=35&GenusName=Anguilla&SpeciesName=anguilla
93,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=297&GenusName=Anguilla&SpeciesName=australis
94,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7512&GenusName=Anguilla&SpeciesName=reinhardtii
95,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata
96,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1123&GenusName=Anisotremus&SpeciesName=surinamensis
97,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4155&GenusName=Anoplagonus&SpeciesName=inermis
98,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3776&GenusName=Anoplarchus&SpeciesName=purpurescens
99,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2308&GenusName=Anoplogaster&SpeciesName=cornuta
100,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=512&GenusName=Anoplopoma&SpeciesName=fimbria
101,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=60529&GenusName=Anotopterus&SpeciesName=nikparini
102,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2729&GenusName=Anotopterus&SpeciesName=pharao
103,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=10276&GenusName=Antennarius&SpeciesName=pictus
104,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1692&GenusName=Anthias&SpeciesName=anthias
105,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3258&GenusName=Antigonia&SpeciesName=capros
106,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7651&GenusName=Antigonia&SpeciesName=rubescens
107,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=646&GenusName=Aphanopus&SpeciesName=carbo
108,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=39&GenusName=Aphia&SpeciesName=minuta
109,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=50015&GenusName=Aphos&SpeciesName=porosus
110,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=12337&GenusName=Aphyocharax&SpeciesName=alburnus
111,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4756&GenusName=Aplocheilus&SpeciesName=panchax
112,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=12909&GenusName=Aplodactylus&SpeciesName=punctatus
113,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3577&GenusName=Aplodinotus&SpeciesName=grunniens
114,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3522&GenusName=Apogon&SpeciesName=binotatus
115,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=12998&GenusName=Apogon&SpeciesName=erythrinus
116,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=14356&GenusName=Apogonops&SpeciesName=anomalus
117,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=13257&GenusName=Apteronotus&SpeciesName=bonapartii
118,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4177&GenusName=Aptocyclus&SpeciesName=ventricosus
119,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2076&GenusName=Arapaima&SpeciesName=gigas
120,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=441&GenusName=Archosargus&SpeciesName=probatocephalus
121,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1872&GenusName=Arctogadus&SpeciesName=glacialis
122,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6977&GenusName=Arctozenus&SpeciesName=risso
123,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=52434&GenusName=Arenigobius&SpeciesName=frenatus
124,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=13469&GenusName=Argentina&SpeciesName=aliceae
125,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=13142&GenusName=Argentina&SpeciesName=elongata
126,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2699&GenusName=Argentina&SpeciesName=sialis
127,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2700&GenusName=Argentina&SpeciesName=silus
128,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=20&GenusName=Argentina&SpeciesName=sphyraena
129,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2701&GenusName=Argentina&SpeciesName=striata
130,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7386&GenusName=Argyripnus&SpeciesName=brocki
131,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=130&GenusName=Argyropelecus&SpeciesName=aculeatus
132,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6968&GenusName=Argyropelecus&SpeciesName=hemigymnus
133,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=5097&GenusName=Argyropelecus&SpeciesName=olfersii
134,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=442&GenusName=Argyrops&SpeciesName=spinifer
135,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=419&GenusName=Argyrosomus&SpeciesName=hololepidotus
136,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=17270&GenusName=Argyrosomus&SpeciesName=inodorus
137,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=11979&GenusName=Argyrosomus&SpeciesName=japonicus
138,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7916&GenusName=Argyrosomus&SpeciesName=thorpei
139,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=443&GenusName=Argyrozona&SpeciesName=argyrozona
140,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=961&GenusName=Ariomma&SpeciesName=bondi
141,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=962&GenusName=Ariomma&SpeciesName=regulus
142,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=947&GenusName=Ariopsis&SpeciesName=felis
143,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=13603&GenusName=Ariosoma&SpeciesName=gilberti
144,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=41&GenusName=Arnoglossus&SpeciesName=laterna
145,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=43&GenusName=Arnoglossus&SpeciesName=thori
146,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6640&GenusName=Arotrolepis&SpeciesName=filicauda
147,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=392&GenusName=Arripis&SpeciesName=georgianus
148,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=5048&GenusName=Arripis&SpeciesName=trutta
149,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=14606&GenusName=Arripis&SpeciesName=truttacea
150,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7066&GenusName=Artedidraco&SpeciesName=orianae
151,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4043&GenusName=Artediellus&SpeciesName=uncinatus
152,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4047&GenusName=Artedius&SpeciesName=harringtoni
153,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4157&GenusName=Aspidophoroides&SpeciesName=monopterygius
154,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=956&GenusName=Aspistor&SpeciesName=quadriscutis
155,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6738&GenusName=Astatotilapia&SpeciesName=flaviijosephi
156,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7200&GenusName=Asterropteryx&SpeciesName=semipunctata
157,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7394&GenusName=Astronesthes&SpeciesName=lucifer
158,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3703&GenusName=Astroscopus&SpeciesName=guttatus
159,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=8080&GenusName=Astyanax&SpeciesName=fasciatus
160,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=518&GenusName=Atheresthes&SpeciesName=evermanni
161,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=517&GenusName=Atheresthes&SpeciesName=stomias
162,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1696&GenusName=Atherina&SpeciesName=boyeri
