,Proximate_Analyses
0,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=972&GenusName=Ablennes&SpeciesName=hians
1,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=268&GenusName=Abramis&SpeciesName=brama
2,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=89&GenusName=Acanthocybium&SpeciesName=solandri
3,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=6356&GenusName=Acanthopagrus&SpeciesName=latus
4,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2065&GenusName=Acipenser&SpeciesName=stellatus
5,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2066&GenusName=Acipenser&SpeciesName=sturio
6,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2594&GenusName=Acipenser&SpeciesName=transmontanus
7,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=228&GenusName=Albula&SpeciesName=vulpes
8,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=988&GenusName=Alectis&SpeciesName=ciliaris
9,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=10&GenusName=Alectis&SpeciesName=indica
10,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1889&GenusName=Alepes&SpeciesName=djedaba
11,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2534&GenusName=Alopias&SpeciesName=superciliosus
12,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2535&GenusName=Alopias&SpeciesName=vulpinus
13,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=101&GenusName=Alosa&SpeciesName=alosa
14,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1582&GenusName=Alosa&SpeciesName=mediocris
15,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1583&GenusName=Alosa&SpeciesName=pseudoharengus
16,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1584&GenusName=Alosa&SpeciesName=sapidissima
17,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5982&GenusName=Ambassis&SpeciesName=kopsii
18,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1499&GenusName=Amblygaster&SpeciesName=clupeoides
19,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=3822&GenusName=Ammodytes&SpeciesName=hexapterus
20,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2501&GenusName=Anarhichas&SpeciesName=lupus
21,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=35&GenusName=Anguilla&SpeciesName=anguilla
22,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=11878&GenusName=Anguilla&SpeciesName=dieffenbachii
23,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=295&GenusName=Anguilla&SpeciesName=japonica
24,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1124&GenusName=Anisotremus&SpeciesName=virginicus
25,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=512&GenusName=Anoplopoma&SpeciesName=fimbria
26,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=3577&GenusName=Aplodinotus&SpeciesName=grunniens
27,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=441&GenusName=Archosargus&SpeciesName=probatocephalus
28,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2700&GenusName=Argentina&SpeciesName=silus
29,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4541&GenusName=Argyrops&SpeciesName=filamentosus
30,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=442&GenusName=Argyrops&SpeciesName=spinifer
31,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=11979&GenusName=Argyrosomus&SpeciesName=japonicus
32,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=418&GenusName=Argyrosomus&SpeciesName=regius
33,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1289&GenusName=Arius&SpeciesName=jella
34,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1280&GenusName=Arius&SpeciesName=maculatus
35,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5048&GenusName=Arripis&SpeciesName=trutta
36,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=14606&GenusName=Arripis&SpeciesName=truttacea
37,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=517&GenusName=Atheresthes&SpeciesName=stomias
38,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=941&GenusName=Atrobucca&SpeciesName=nibe
39,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=93&GenusName=Auxis&SpeciesName=rochei
40,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=94&GenusName=Auxis&SpeciesName=thazard
41,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=13168&GenusName=Bangana&SpeciesName=ariza
42,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=286&GenusName=Barbonymus&SpeciesName=gonionotus
43,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=47&GenusName=Belone&SpeciesName=belone
44,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2556&GenusName=Beringraja&SpeciesName=binoculata
45,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1319&GenusName=Beryx&SpeciesName=decadactylus
46,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1320&GenusName=Beryx&SpeciesName=splendens
47,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=203&GenusName=Boops&SpeciesName=boops
48,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=319&GenusName=Boreogadus&SpeciesName=saida
49,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=400&GenusName=Brachydeuterus&SpeciesName=auritus
50,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=391&GenusName=Brama&SpeciesName=brama
51,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1592&GenusName=Brevoortia&SpeciesName=tyrannus
52,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=51&GenusName=Brosme&SpeciesName=brosme
53,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1222&GenusName=Calamus&SpeciesName=calamus
54,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1916&GenusName=Carangoides&SpeciesName=armatus
55,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1925&GenusName=Carangoides&SpeciesName=dinema
56,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1921&GenusName=Carangoides&SpeciesName=ferdau
57,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1926&GenusName=Carangoides&SpeciesName=fulvoguttatus
58,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1905&GenusName=Carangoides&SpeciesName=gymnostethus
59,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1933&GenusName=Caranx&SpeciesName=crysos
60,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1895&GenusName=Caranx&SpeciesName=ignobilis
61,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1906&GenusName=Caranx&SpeciesName=melampygus
62,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1917&GenusName=Caranx&SpeciesName=sexfasciatus
63,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=271&GenusName=Carassius&SpeciesName=auratus
64,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=270&GenusName=Carassius&SpeciesName=carassius
65,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=867&GenusName=Carcharhinus&SpeciesName=dussumieri
66,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=874&GenusName=Carcharhinus&SpeciesName=limbatus
