,Maturity_Studies
0,https://www.fishbase.de/Reproduction/MaturityList.php?ID=22903&GenusName=Abbottina&SpeciesName=rivularis&fc=122
1,https://www.fishbase.de/Reproduction/MaturityList.php?ID=268&GenusName=Abramis&SpeciesName=brama&fc=122
2,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1119&GenusName=Abudefduf&SpeciesName=saxatilis&fc=350
3,https://www.fishbase.de/Reproduction/MaturityList.php?ID=6630&GenusName=Abudefduf&SpeciesName=vaigiensis&fc=350
4,https://www.fishbase.de/Reproduction/MaturityList.php?ID=47208&GenusName=Abyssocottus&SpeciesName=korotneffi&fc=584
5,https://www.fishbase.de/Reproduction/MaturityList.php?ID=54806&GenusName=Acanthemblemaria&SpeciesName=paula&fc=483
6,https://www.fishbase.de/Reproduction/MaturityList.php?ID=16486&GenusName=Acanthemblemaria&SpeciesName=spinosa&fc=483
7,https://www.fishbase.de/Reproduction/MaturityList.php?ID=351&GenusName=Acanthistius&SpeciesName=brasilianus&fc=289
8,https://www.fishbase.de/Reproduction/MaturityList.php?ID=9046&GenusName=Acanthochaenus&SpeciesName=luetkenii&fc=232
9,https://www.fishbase.de/Reproduction/MaturityList.php?ID=89&GenusName=Acanthocybium&SpeciesName=solandri&fc=416
10,https://www.fishbase.de/Reproduction/MaturityList.php?ID=8109&GenusName=Acanthopagrus&SpeciesName=australis&fc=330
11,https://www.fishbase.de/Reproduction/MaturityList.php?ID=5526&GenusName=Acanthopagrus&SpeciesName=berda&fc=330
12,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4543&GenusName=Acanthopagrus&SpeciesName=bifasciatus&fc=330
13,https://www.fishbase.de/Reproduction/MaturityList.php?ID=14601&GenusName=Acanthopagrus&SpeciesName=butcheri&fc=330
14,https://www.fishbase.de/Reproduction/MaturityList.php?ID=6356&GenusName=Acanthopagrus&SpeciesName=latus&fc=330
15,https://www.fishbase.de/Reproduction/MaturityList.php?ID=65896&GenusName=Acanthopagrus&SpeciesName=pacificus&fc=330
16,https://www.fishbase.de/Reproduction/MaturityList.php?ID=6531&GenusName=Acanthopagrus&SpeciesName=schlegelii&fc=330
17,https://www.fishbase.de/Reproduction/MaturityList.php?ID=8836&GenusName=Acanthopsetta&SpeciesName=nadeshnyi&fc=440
18,https://www.fishbase.de/Reproduction/MaturityList.php?ID=92&GenusName=Acanthostracion&SpeciesName=quadricornis&fc=446
19,https://www.fishbase.de/Reproduction/MaturityList.php?ID=943&GenusName=Acanthurus&SpeciesName=chirurgus&fc=412
20,https://www.fishbase.de/Reproduction/MaturityList.php?ID=944&GenusName=Acanthurus&SpeciesName=coeruleus&fc=412
21,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1257&GenusName=Acanthurus&SpeciesName=leucosternon&fc=412
22,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1258&GenusName=Acanthurus&SpeciesName=lineatus&fc=412
23,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4747&GenusName=Acanthurus&SpeciesName=nigricauda&fc=412
24,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4739&GenusName=Acanthurus&SpeciesName=nigrofuscus&fc=412
25,https://www.fishbase.de/Reproduction/MaturityList.php?ID=942&GenusName=Acanthurus&SpeciesName=tractus&fc=412
26,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1260&GenusName=Acanthurus&SpeciesName=triostegus&fc=412
27,https://www.fishbase.de/Reproduction/MaturityList.php?ID=12260&GenusName=Acaronia&SpeciesName=nassa&fc=349
28,https://www.fishbase.de/Reproduction/MaturityList.php?ID=23585&GenusName=Acentrogobius&SpeciesName=pflaumii&fc=405
29,https://www.fishbase.de/Reproduction/MaturityList.php?ID=51077&GenusName=Acestrorhynchus&SpeciesName=lacustris&fc=593
