,Length_Weight_Parameters
0,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=9&GenusName=Abalistes&SpeciesName=stellaris&fc=445
1,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=55143&GenusName=Abbottina&SpeciesName=obtusirostris&fc=122
2,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=22903&GenusName=Abbottina&SpeciesName=rivularis&fc=122
3,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=972&GenusName=Ablennes&SpeciesName=hians&fc=207
4,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=268&GenusName=Abramis&SpeciesName=brama&fc=122
5,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=14737&GenusName=Abramites&SpeciesName=eques&fc=559
6,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=6652&GenusName=Abudefduf&SpeciesName=abdominalis&fc=350
7,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=11811&GenusName=Abudefduf&SpeciesName=hoefleri&fc=350
8,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1119&GenusName=Abudefduf&SpeciesName=saxatilis&fc=350
9,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5688&GenusName=Abudefduf&SpeciesName=sexfasciatus&fc=350
10,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5689&GenusName=Abudefduf&SpeciesName=sordidus&fc=350
11,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=6630&GenusName=Abudefduf&SpeciesName=vaigiensis&fc=350
12,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=9626&GenusName=Abudefduf&SpeciesName=whitleyi&fc=350
13,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=48040&GenusName=Abyssocottus&SpeciesName=gibbosus&fc=584
14,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=47208&GenusName=Abyssocottus&SpeciesName=korotneffi&fc=584
15,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=3708&GenusName=Acanthemblemaria&SpeciesName=aspera&fc=483
16,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=46703&GenusName=Acanthemblemaria&SpeciesName=balanorum&fc=483
17,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=46704&GenusName=Acanthemblemaria&SpeciesName=crockeri&fc=483
18,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=57960&GenusName=Acanthistius&SpeciesName=pictus&fc=289
19,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=52603&GenusName=Acanthobrama&SpeciesName=marmid&fc=122
20,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=48174&GenusName=Acanthobrama&SpeciesName=microlepis&fc=122
21,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=55292&GenusName=Acanthobrama&SpeciesName=persidis&fc=122
22,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=10354&GenusName=Acanthocepola&SpeciesName=abbreviata&fc=358
23,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=6655&GenusName=Acanthochromis&SpeciesName=polyacanthus&fc=350
24,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=49224&GenusName=Acanthoclinus&SpeciesName=littoreus&fc=294
25,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=12256&GenusName=Acanthocobitis&SpeciesName=botia&fc=692
26,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=89&GenusName=Acanthocybium&SpeciesName=solandri&fc=416
27,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=3832&GenusName=Acanthogobius&SpeciesName=flavimanus&fc=405
28,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=13045&GenusName=Acanthogobius&SpeciesName=hasta&fc=405
29,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=23696&GenusName=Acanthogobius&SpeciesName=lactipes&fc=405
30,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=7633&GenusName=Acantholabrus&SpeciesName=palloni&fc=362
31,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=67314&GenusName=Acanthopagrus&SpeciesName=arabicus&fc=330
32,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5526&GenusName=Acanthopagrus&SpeciesName=berda&fc=330
33,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4543&GenusName=Acanthopagrus&SpeciesName=bifasciatus&fc=330
34,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=14601&GenusName=Acanthopagrus&SpeciesName=butcheri&fc=330
35,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=6356&GenusName=Acanthopagrus&SpeciesName=latus&fc=330
36,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65896&GenusName=Acanthopagrus&SpeciesName=pacificus&fc=330
37,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=6531&GenusName=Acanthopagrus&SpeciesName=schlegelii&fc=330
38,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=6583&GenusName=Acanthopagrus&SpeciesName=sivicolus&fc=330
39,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=8836&GenusName=Acanthopsetta&SpeciesName=nadeshnyi&fc=440
40,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=46831&GenusName=Acanthorhodeus&SpeciesName=chankaensis&fc=122
41,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4287&GenusName=Acanthostracion&SpeciesName=polygonius&fc=446
42,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=92&GenusName=Acanthostracion&SpeciesName=quadricornis&fc=446
43,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4306&GenusName=Acanthurus&SpeciesName=achilles&fc=412
44,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=68792&GenusName=Acanthurus&SpeciesName=bahianus&fc=412
45,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4750&GenusName=Acanthurus&SpeciesName=blochii&fc=412
46,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=943&GenusName=Acanthurus&SpeciesName=chirurgus&fc=412
47,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=944&GenusName=Acanthurus&SpeciesName=coeruleus&fc=412
48,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1256&GenusName=Acanthurus&SpeciesName=dussumieri&fc=412
49,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4736&GenusName=Acanthurus&SpeciesName=guttatus&fc=412
50,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4737&GenusName=Acanthurus&SpeciesName=leucopareius&fc=412
51,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1257&GenusName=Acanthurus&SpeciesName=leucosternon&fc=412
52,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1258&GenusName=Acanthurus&SpeciesName=lineatus&fc=412
53,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1255&GenusName=Acanthurus&SpeciesName=mata&fc=412
54,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1800&GenusName=Acanthurus&SpeciesName=monroviae&fc=412
55,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=6011&GenusName=Acanthurus&SpeciesName=nigricans&fc=412
56,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4747&GenusName=Acanthurus&SpeciesName=nigricauda&fc=412
57,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4739&GenusName=Acanthurus&SpeciesName=nigrofuscus&fc=412
58,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4744&GenusName=Acanthurus&SpeciesName=olivaceus&fc=412
59,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4742&GenusName=Acanthurus&SpeciesName=pyroferus&fc=412
60,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4734&GenusName=Acanthurus&SpeciesName=thompsoni&fc=412
61,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=942&GenusName=Acanthurus&SpeciesName=tractus&fc=412
62,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1260&GenusName=Acanthurus&SpeciesName=triostegus&fc=412
63,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1261&GenusName=Acanthurus&SpeciesName=xanthopterus&fc=412
64,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4894&GenusName=Acentrogobius&SpeciesName=caninus&fc=405
65,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=23585&GenusName=Acentrogobius&SpeciesName=pflaumii&fc=405
66,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=15776&GenusName=Acentrogobius&SpeciesName=viridipunctatus&fc=405
67,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=47798&GenusName=Acentronichthys&SpeciesName=leptos&fc=596
68,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=63988&GenusName=Acestrocephalus&SpeciesName=stigmatus&fc=102
69,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=23498&GenusName=Acestrorhynchus&SpeciesName=falcatus&fc=593
70,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=13123&GenusName=Acestrorhynchus&SpeciesName=falcirostris&fc=593
71,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=27261&GenusName=Acestrorhynchus&SpeciesName=heterolepis&fc=593
72,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=51077&GenusName=Acestrorhynchus&SpeciesName=lacustris&fc=593
73,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=12336&GenusName=Acestrorhynchus&SpeciesName=microlepis&fc=593
74,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=52503&GenusName=Acestrorhynchus&SpeciesName=pantaneiro&fc=593
75,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=55887&GenusName=Acheilognathus&SpeciesName=imberbis&fc=122
76,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=54380&GenusName=Acheilognathus&SpeciesName=macropterus&fc=122
77,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=56321&GenusName=Acheilognathus&SpeciesName=meridianus&fc=122
78,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=61857&GenusName=Acheilognathus&SpeciesName=taenianalis&fc=122
79,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=54709&GenusName=Acheilognathus&SpeciesName=tonkinensis&fc=122
80,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=25607&GenusName=Acheilognathus&SpeciesName=yamatsutae&fc=122
81,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=7572&GenusName=Achirus&SpeciesName=achirus&fc=516
82,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=52941&GenusName=Achirus&SpeciesName=declivis&fc=516
83,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4256&GenusName=Achirus&SpeciesName=lineatus&fc=516
84,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=10429&GenusName=Achirus&SpeciesName=mazatlanus&fc=516
85,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=14420&GenusName=Achoerodus&SpeciesName=gouldii&fc=362
86,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=23608&GenusName=Achondrostoma&SpeciesName=arcasii&fc=122
87,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4683&GenusName=Acipenser&SpeciesName=baerii&fc=32
88,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2590&GenusName=Acipenser&SpeciesName=brevirostrum&fc=32
89,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2591&GenusName=Acipenser&SpeciesName=fulvescens&fc=32
90,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4712&GenusName=Acipenser&SpeciesName=gueldenstaedtii&fc=32
91,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2592&GenusName=Acipenser&SpeciesName=medirostris&fc=32
92,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2505&GenusName=Acipenser&SpeciesName=nudiventris&fc=32
93,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2593&GenusName=Acipenser&SpeciesName=oxyrinchus&fc=32
94,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=9763&GenusName=Acipenser&SpeciesName=persicus&fc=32
95,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4604&GenusName=Acipenser&SpeciesName=ruthenus&fc=32
96,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=6085&GenusName=Acipenser&SpeciesName=schrenckii&fc=32
97,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2065&GenusName=Acipenser&SpeciesName=stellatus&fc=32
98,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2066&GenusName=Acipenser&SpeciesName=sturio&fc=32
99,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2594&GenusName=Acipenser&SpeciesName=transmontanus&fc=32
100,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=26526&GenusName=Acnodon&SpeciesName=normani&fc=686
101,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=7849&GenusName=Acreichthys&SpeciesName=tomentosus&fc=517
102,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1267&GenusName=Acropoma&SpeciesName=japonicum&fc=512
103,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=54949&GenusName=Acrossocheilus&SpeciesName=clivosius&fc=122
104,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=54939&GenusName=Acrossocheilus&SpeciesName=hemispinus&fc=122
105,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=55158&GenusName=Acrossocheilus&SpeciesName=kreyenbergii&fc=122
106,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=17291&GenusName=Acrossocheilus&SpeciesName=paradoxus&fc=122
107,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=54938&GenusName=Acrossocheilus&SpeciesName=parallens&fc=122
108,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=14481&GenusName=Acrossocheilus&SpeciesName=yunnanensis&fc=122
109,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5509&GenusName=Acroteriobatus&SpeciesName=annulatus&fc=17
110,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5510&GenusName=Acroteriobatus&SpeciesName=leucospilus&fc=17
111,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=46581&GenusName=Aequidens&SpeciesName=pallidus&fc=349
112,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=46586&GenusName=Aequidens&SpeciesName=plagiozonatus&fc=349
113,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=12278&GenusName=Aequidens&SpeciesName=tetramerus&fc=349
114,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=6441&GenusName=Aethaloperca&SpeciesName=rogaa&fc=289
115,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=8973&GenusName=Aetobatus&SpeciesName=flagellum&fc=717
116,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1250&GenusName=Aetobatus&SpeciesName=narinari&fc=717
