,FAO_Catches
0,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Ablennes+hians
1,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Abramis+brama
2,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Aristeus+antennatus
3,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acanthistius+brasilianus
4,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acanthocybium+solandri
5,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acanthopagrus+berda
6,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acanthopagrus+bifasciatus
7,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Penaeus+paulensis
8,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acanthopagrus+latus
9,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acanthopagrus+schlegeli
10,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acanthurus+sohal
11,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acipenser+gueldenstaedtii
12,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acipenser+medirostris
13,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acipenser+nudiventris
14,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acipenser+ruthenus
15,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acipenser+stellatus
16,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acipenser+transmontanus
17,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Aethaloperca+rogaa
18,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Agonostomus+monticola
19,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Albula+vulpes
20,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alburnus+alburnus
21,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Chalcalburnus+chalcoides
22,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Chalcalburnus+tarichi
23,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alectis+alexandrinus
24,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alepes+djedaba
25,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alepisaurus+ferox
26,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alepocephalus+bairdii
27,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alestes+baremoze
28,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Allocyttus+niger
29,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Carcinus+maenas
30,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Allothunnus+fallai
31,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alopias+pelagicus
32,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alopias+superciliosus
33,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alopias+vulpinus
34,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alosa+aestivalis
35,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alosa+alosa
36,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anadara+ovalis
37,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alosa+fallax
38,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alosa+pontica
39,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alosa+mediocris
40,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alosa+pseudoharengus
41,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Alosa+sapidissima
42,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Moroteuthis+robustus
43,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Glycymeris+glycymeris
44,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Amblygaster+sirm
45,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Raja+georgiana
46,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Raja+hyperborea
47,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Raja+radiata
48,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Raja+taaf
49,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Ameiurus+nebulosus
50,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Amia+calva
51,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Ammodytes+personatus
52,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Amphichthys+cryptocentrus
53,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anabas+testudineus
54,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anarhichas+denticulatus
55,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anarhichas+lupus
56,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anarhichas+minor
57,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anchoa+hepsetus
58,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anchoa+marinii
59,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anchoa+nasus
60,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Holothuria+fuscogilva
61,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Aequidens+rivulatus
62,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anguilla+anguilla
63,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anguilla+australis
64,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anguilla+japonica
65,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anguilla+rostrata
66,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anodontostoma+chacunda
67,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Anoplopoma+fimbria
68,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Antimora+rostrata
69,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Aphanopus+carbo
70,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Aphareus+rutilans
71,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Aphia+minuta
72,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Aplodactylus+punctatus
73,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Aplodinotus+grunniens
74,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Aprion+virescens
75,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Apsilus+fuscus
76,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Arapaima+gigas
77,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Archosargus+probatocephalus
78,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Archosargus+rhomboidalis
79,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Arctoscopus+japonicus
80,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Argentina+silus
81,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Argentina+sphyraena
82,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Argyrops+spinifer
83,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Argyrosomus+hololepidotus
84,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Argyrosomus+regius
85,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Argyrozona+argyrozona
86,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Ariomma+indica
87,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Arripis+georgianus
88,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Arripis+trutta
89,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Acetes+japonicus
90,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Palaemon+serratus
91,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Astronotus+ocellatus
92,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Astyanax+fasciatus
93,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Illex+illecebrosus
94,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Illex+coindetii
95,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Ommastrephes+bartrami
96,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Atheresthes+evermanni
97,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Atheresthes+stomias
98,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Atherina+boyeri
99,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Atherina+hepsetus
100,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Raja+castelnaui
101,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Raja+cyclophora
102,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Atractoscion+aequidens
103,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Atractoscion+nobilis
104,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Atractosteus+tropicus
105,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Atrobucca+nibe
106,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Atule+mate
107,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Auchenoglanis+occidentalis
108,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Austroglossus+microlepis
109,https://www.fishbase.de/report/FAO/FAOCatchList.php?scientific=Austroglossus+pectoralis
