,Genetics_Records
0,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=22903&GenusName=Abbottina&SpeciesName=rivularis
1,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=268&GenusName=Abramis&SpeciesName=brama
2,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=10768&GenusName=Abramites&SpeciesName=hypselonotus
3,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=5686&GenusName=Abudefduf&SpeciesName=notatus
4,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=1119&GenusName=Abudefduf&SpeciesName=saxatilis
5,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=5688&GenusName=Abudefduf&SpeciesName=sexfasciatus
6,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=5689&GenusName=Abudefduf&SpeciesName=sordidus
7,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6630&GenusName=Abudefduf&SpeciesName=vaigiensis
8,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=47208&GenusName=Abyssocottus&SpeciesName=korotneffi
9,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3357&GenusName=Acantharchus&SpeciesName=pomotis
10,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12256&GenusName=Acanthocobitis&SpeciesName=botia
11,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12103&GenusName=Acanthodoras&SpeciesName=spinosissimus
12,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3832&GenusName=Acanthogobius&SpeciesName=flavimanus
13,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=23696&GenusName=Acanthogobius&SpeciesName=lactipes
14,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6356&GenusName=Acanthopagrus&SpeciesName=latus
15,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6531&GenusName=Acanthopagrus&SpeciesName=schlegelii
16,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=46831&GenusName=Acanthorhodeus&SpeciesName=chankaensis
17,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=1260&GenusName=Acanthurus&SpeciesName=triostegus
18,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=23015&GenusName=Acantopsis&SpeciesName=dialuzona
19,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12258&GenusName=Acarichthys&SpeciesName=heckelii
20,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12260&GenusName=Acaronia&SpeciesName=nassa
21,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=7228&GenusName=Acentrogobius&SpeciesName=nebulosus
22,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=23585&GenusName=Acentrogobius&SpeciesName=pflaumii
23,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=51076&GenusName=Acestrorhynchus&SpeciesName=altus
24,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=51077&GenusName=Acestrorhynchus&SpeciesName=lacustris
25,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=11928&GenusName=Acheilognathus&SpeciesName=cyanostigma
26,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9528&GenusName=Acheilognathus&SpeciesName=longipinnis
27,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=25817&GenusName=Acheilognathus&SpeciesName=melanogaster
28,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=22891&GenusName=Acheilognathus&SpeciesName=rhombeus
29,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=22892&GenusName=Acheilognathus&SpeciesName=tabira
30,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=22897&GenusName=Acheilognathus&SpeciesName=typus
31,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=52941&GenusName=Achirus&SpeciesName=declivis
32,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4256&GenusName=Achirus&SpeciesName=lineatus
33,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=23608&GenusName=Achondrostoma&SpeciesName=arcasii
34,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=23609&GenusName=Achondrostoma&SpeciesName=oligolepis
35,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4683&GenusName=Acipenser&SpeciesName=baerii
36,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2590&GenusName=Acipenser&SpeciesName=brevirostrum
37,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2591&GenusName=Acipenser&SpeciesName=fulvescens
38,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4712&GenusName=Acipenser&SpeciesName=gueldenstaedtii
39,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2592&GenusName=Acipenser&SpeciesName=medirostris
40,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9762&GenusName=Acipenser&SpeciesName=mikadoi
41,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2504&GenusName=Acipenser&SpeciesName=naccarii
42,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2505&GenusName=Acipenser&SpeciesName=nudiventris
43,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2593&GenusName=Acipenser&SpeciesName=oxyrinchus
44,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9763&GenusName=Acipenser&SpeciesName=persicus
45,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4604&GenusName=Acipenser&SpeciesName=ruthenus
46,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6085&GenusName=Acipenser&SpeciesName=schrenckii
47,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=8762&GenusName=Acipenser&SpeciesName=sinensis
