,Available_Electrophoretic_Studies
0,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1260&GenusName=Acanthurus&SpeciesName=triostegus
1,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=15776&GenusName=Acentrogobius&SpeciesName=viridipunctatus
2,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5448&GenusName=Amphiprion&SpeciesName=clarkii
3,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4834&GenusName=Aphanius&SpeciesName=fasciatus
4,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4876&GenusName=Aphanius&SpeciesName=iberus
5,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1696&GenusName=Atherina&SpeciesName=boyeri
6,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=45&GenusName=Atherina&SpeciesName=presbyter
7,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5180&GenusName=Barbodes&SpeciesName=binotatus
8,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5190&GenusName=Barbodes&SpeciesName=lindog
9,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5178&GenusName=Barbodes&SpeciesName=tumba
10,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=8171&GenusName=Barbonymus&SpeciesName=altus
11,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5424&GenusName=Barbus&SpeciesName=meridionalis
12,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=24196&GenusName=Bathycallionymus&SpeciesName=kaianus
13,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=11802&GenusName=Brachygobius&SpeciesName=aggregatus
14,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=8035&GenusName=Butis&SpeciesName=butis
15,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=13070&GenusName=Callionymus&SpeciesName=beniteguri
16,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=55180&GenusName=Callionymus&SpeciesName=curvicornis
17,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=17468&GenusName=Callionymus&SpeciesName=enneactis
18,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=24197&GenusName=Callionymus&SpeciesName=formosanus
19,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=10362&GenusName=Callionymus&SpeciesName=japonicus
20,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=25832&GenusName=Callionymus&SpeciesName=lunatus
21,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=25833&GenusName=Callionymus&SpeciesName=planus
