,Descriptive_Characters_Of_Fish_Eggs
0,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=972&GenusName=Ablennes&SpeciesName=hians&fc=207&stockcode=988
1,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=268&GenusName=Abramis&SpeciesName=brama&fc=122&stockcode=282
2,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6652&GenusName=Abudefduf&SpeciesName=abdominalis&fc=350&stockcode=6972
3,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1119&GenusName=Abudefduf&SpeciesName=saxatilis&fc=350&stockcode=1135
4,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6630&GenusName=Abudefduf&SpeciesName=vaigiensis&fc=350&stockcode=6950
5,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=17075&GenusName=Abyssobrotula&SpeciesName=galatheae&fc=186&stockcode=15443
6,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=56310&GenusName=Acanthanectes&SpeciesName=hystrix&fc=390&stockcode=46358
7,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=56311&GenusName=Acanthanectes&SpeciesName=rufus&fc=390&stockcode=46359
8,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3708&GenusName=Acanthemblemaria&SpeciesName=aspera&fc=483&stockcode=3904
9,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=60573&GenusName=Acanthemblemaria&SpeciesName=atrata&fc=483&stockcode=50341
10,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46703&GenusName=Acanthemblemaria&SpeciesName=balanorum&fc=483&stockcode=39341
11,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=47263&GenusName=Acanthemblemaria&SpeciesName=betinensis&fc=483&stockcode=39767
12,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=25510&GenusName=Acanthemblemaria&SpeciesName=castroi&fc=483&stockcode=20129
13,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=48174&GenusName=Acanthobrama&SpeciesName=microlepis&fc=122&stockcode=40449
14,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=89&GenusName=Acanthocybium&SpeciesName=solandri&fc=416&stockcode=104
15,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3832&GenusName=Acanthogobius&SpeciesName=flavimanus&fc=405&stockcode=4028
16,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8943&GenusName=Acanthonus&SpeciesName=armatus&fc=186&stockcode=9264
17,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8109&GenusName=Acanthopagrus&SpeciesName=australis&fc=330&stockcode=8419
18,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=14601&GenusName=Acanthopagrus&SpeciesName=butcheri&fc=330&stockcode=14324
19,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8836&GenusName=Acanthopsetta&SpeciesName=nadeshnyi&fc=440&stockcode=9157
20,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=92&GenusName=Acanthostracion&SpeciesName=quadricornis&fc=446&stockcode=106
21,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1256&GenusName=Acanthurus&SpeciesName=dussumieri&fc=412&stockcode=1272
