,Larvae_Information
0,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=972&GenusName=Ablennes&SpeciesName=hians&stockcode=988
1,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=268&GenusName=Abramis&SpeciesName=brama&stockcode=282
2,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6652&GenusName=Abudefduf&SpeciesName=abdominalis&stockcode=6972
3,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6517&GenusName=Abudefduf&SpeciesName=bengalensis&stockcode=6838
4,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=5685&GenusName=Abudefduf&SpeciesName=lorenzi&stockcode=5978
5,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1119&GenusName=Abudefduf&SpeciesName=saxatilis&stockcode=1135
6,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=5688&GenusName=Abudefduf&SpeciesName=sexfasciatus&stockcode=5981
7,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=5689&GenusName=Abudefduf&SpeciesName=sordidus&stockcode=5982
8,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=8245&GenusName=Abudefduf&SpeciesName=troschelii&stockcode=8558
9,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6630&GenusName=Abudefduf&SpeciesName=vaigiensis&stockcode=6950
10,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=9626&GenusName=Abudefduf&SpeciesName=whitleyi&stockcode=9950
11,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=56310&GenusName=Acanthanectes&SpeciesName=hystrix&stockcode=46358
12,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=56311&GenusName=Acanthanectes&SpeciesName=rufus&stockcode=46359
13,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=15042&GenusName=Acanthistius&SpeciesName=serratus&stockcode=14483
14,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=9215&GenusName=Acanthocepola&SpeciesName=krusensternii&stockcode=9537
15,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=9214&GenusName=Acanthocepola&SpeciesName=limbata&stockcode=9536
16,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6655&GenusName=Acanthochromis&SpeciesName=polyacanthus&stockcode=6975
17,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=89&GenusName=Acanthocybium&SpeciesName=solandri&stockcode=104
18,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=54894&GenusName=Acanthodraco&SpeciesName=dewitti&stockcode=45451
19,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=3832&GenusName=Acanthogobius&SpeciesName=flavimanus&stockcode=4028
20,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=13045&GenusName=Acanthogobius&SpeciesName=hasta&stockcode=13368
21,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=23696&GenusName=Acanthogobius&SpeciesName=lactipes&stockcode=18836
22,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=8943&GenusName=Acanthonus&SpeciesName=armatus&stockcode=9264
23,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=8109&GenusName=Acanthopagrus&SpeciesName=australis&stockcode=8419
24,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=14601&GenusName=Acanthopagrus&SpeciesName=butcheri&stockcode=14324
25,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6356&GenusName=Acanthopagrus&SpeciesName=latus&stockcode=6669
26,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=65896&GenusName=Acanthopagrus&SpeciesName=pacificus&stockcode=56136
27,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6531&GenusName=Acanthopagrus&SpeciesName=schlegelii&stockcode=6852
28,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6583&GenusName=Acanthopagrus&SpeciesName=sivicolus&stockcode=6905
29,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=8836&GenusName=Acanthopsetta&SpeciesName=nadeshnyi&stockcode=9157
30,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1258&GenusName=Acanthurus&SpeciesName=lineatus&stockcode=1275
31,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1800&GenusName=Acanthurus&SpeciesName=monroviae&stockcode=1996
32,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6011&GenusName=Acanthurus&SpeciesName=nigricans&stockcode=6325
33,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1260&GenusName=Acanthurus&SpeciesName=triostegus&stockcode=1277
34,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=23585&GenusName=Acentrogobius&SpeciesName=pflaumii&stockcode=18735
35,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=22892&GenusName=Acheilognathus&SpeciesName=tabira&stockcode=18170
36,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2590&GenusName=Acipenser&SpeciesName=brevirostrum&stockcode=2786
37,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2593&GenusName=Acipenser&SpeciesName=oxyrinchus&stockcode=2789
38,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6085&GenusName=Acipenser&SpeciesName=schrenckii&stockcode=6399
39,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=7849&GenusName=Acreichthys&SpeciesName=tomentosus&stockcode=8159
40,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1267&GenusName=Acropoma&SpeciesName=japonicum&stockcode=1284
41,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6503&GenusName=Aeoliscus&SpeciesName=strigatus&stockcode=6824
42,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=57010&GenusName=Afurcagobius&SpeciesName=suppositus&stockcode=46774
43,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4150&GenusName=Agonomalus&SpeciesName=mozinoi&stockcode=4346
44,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4151&GenusName=Agonopsis&SpeciesName=sterletus&stockcode=4347
45,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=36&GenusName=Agonus&SpeciesName=cataphractus&stockcode=46
46,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2633&GenusName=Ahlia&SpeciesName=egmontis&stockcode=2829
47,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=22983&GenusName=Ahliesaurus&SpeciesName=brevis&stockcode=18246
48,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=25971&GenusName=Aidablennius&SpeciesName=sphynx&stockcode=20482
49,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=8435&GenusName=Albatrossia&SpeciesName=pectoralis&stockcode=8749
50,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=11512&GenusName=Albula&SpeciesName=glossodonta&stockcode=11838
51,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=7334&GenusName=Albula&SpeciesName=nemoptera&stockcode=7634
52,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&stockcode=242
53,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4730&GenusName=Alburnus&SpeciesName=alburnus&stockcode=4954
54,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=988&GenusName=Alectis&SpeciesName=ciliaris&stockcode=1004
55,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1889&GenusName=Alepes&SpeciesName=djedaba&stockcode=2085
56,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2728&GenusName=Alepisaurus&SpeciesName=brevirostris&stockcode=2924
57,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=99&GenusName=Alepisaurus&SpeciesName=ferox&stockcode=113
58,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=11590&GenusName=Alepocephalus&SpeciesName=tenebrosus&stockcode=11916
59,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2405&GenusName=Alestes&SpeciesName=baremoze&stockcode=2599
60,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=46449&GenusName=Alfaro&SpeciesName=cultratus&stockcode=39138
61,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=52390&GenusName=Alloblennius&SpeciesName=anuchalis&stockcode=43585
62,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=66456&GenusName=Alloblennius&SpeciesName=frondiculus&stockcode=57149
63,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6046&GenusName=Alloblennius&SpeciesName=jugularis&stockcode=6360
64,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=16940&GenusName=Alloblennius&SpeciesName=parvus&stockcode=15358
65,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=52391&GenusName=Alloblennius&SpeciesName=pictus&stockcode=43586
66,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1574&GenusName=Alosa&SpeciesName=aestivalis&stockcode=1767
67,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1582&GenusName=Alosa&SpeciesName=mediocris&stockcode=1775
68,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1583&GenusName=Alosa&SpeciesName=pseudoharengus&stockcode=1776
69,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1584&GenusName=Alosa&SpeciesName=sapidissima&stockcode=1777
70,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=52971&GenusName=Alticus&SpeciesName=anjouanae&stockcode=43981
71,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=56805&GenusName=Alticus&SpeciesName=arnoldorum&stockcode=46687
72,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=46411&GenusName=Alticus&SpeciesName=kirkii&stockcode=39101
73,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=9919&GenusName=Alticus&SpeciesName=monochrus&stockcode=10242
74,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=59611&GenusName=Alticus&SpeciesName=montanoi&stockcode=49344
75,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6031&GenusName=Alticus&SpeciesName=saliens&stockcode=6345
76,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=62209&GenusName=Alticus&SpeciesName=sertatus&stockcode=52173
77,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=61229&GenusName=Alticus&SpeciesName=simplicirrus&stockcode=51012
78,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4275&GenusName=Aluterus&SpeciesName=scriptus&stockcode=4471
79,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=61467&GenusName=Ambassis&SpeciesName=ambassis&stockcode=51267
80,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=5153&GenusName=Ambassis&SpeciesName=interrupta&stockcode=5392
81,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=15126&GenusName=Ambassis&SpeciesName=jacksoniensis&stockcode=14513
82,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=15129&GenusName=Ambassis&SpeciesName=marianus&stockcode=14515
83,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=3361&GenusName=Ambloplites&SpeciesName=rupestris&stockcode=3557
84,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=15855&GenusName=Amblychaeturichthys&SpeciesName=hexanema&stockcode=14904
85,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=5477&GenusName=Amblyglyphidodon&SpeciesName=curacao&stockcode=5752
86,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=5691&GenusName=Amblyglyphidodon&SpeciesName=leucogaster&stockcode=5984
87,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6675&GenusName=Amblygobius&SpeciesName=albimaculatus&stockcode=6996
88,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=7198&GenusName=Amblygobius&SpeciesName=phalaena&stockcode=7327
89,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2600&GenusName=Amia&SpeciesName=calva&stockcode=2796
90,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=3820&GenusName=Ammodytes&SpeciesName=americanus&stockcode=4016
