,Culture_System_Records
0,https://www.fishbase.de/aquaculture/AquacultureList.php?id=4765
1,https://www.fishbase.de/aquaculture/AquacultureList.php?id=80
2,https://www.fishbase.de/aquaculture/AquacultureList.php?id=8910
3,https://www.fishbase.de/aquaculture/AquacultureList.php?id=1397
4,https://www.fishbase.de/aquaculture/AquacultureList.php?id=1390
5,https://www.fishbase.de/aquaculture/AquacultureList.php?id=79
6,https://www.fishbase.de/aquaculture/AquacultureList.php?id=1450
7,https://www.fishbase.de/aquaculture/AquacultureList.php?id=82
8,https://www.fishbase.de/aquaculture/AquacultureList.php?id=1407
9,https://www.fishbase.de/aquaculture/AquacultureList.php?id=1381
10,https://www.fishbase.de/aquaculture/AquacultureList.php?id=1399
11,https://www.fishbase.de/aquaculture/AquacultureList.php?id=1387
12,https://www.fishbase.de/aquaculture/AquacultureList.php?id=3
13,https://www.fishbase.de/aquaculture/AquacultureList.php?id=2
14,https://www.fishbase.de/aquaculture/AquacultureList.php?id=4684
15,https://www.fishbase.de/aquaculture/AquacultureList.php?id=4826
16,https://www.fishbase.de/aquaculture/AquacultureList.php?id=236
17,https://www.fishbase.de/aquaculture/AquacultureList.php?id=247
