,Species_for_which_disease_information_is_available
0,https://www.fishbase.de/Diseases/diseasesList.php?ID=972&StockCode=988
1,https://www.fishbase.de/Diseases/diseasesList.php?ID=268&StockCode=282
2,https://www.fishbase.de/Diseases/diseasesList.php?ID=55292&StockCode=45797
3,https://www.fishbase.de/Diseases/diseasesList.php?ID=5526&StockCode=5815
4,https://www.fishbase.de/Diseases/diseasesList.php?ID=65896&StockCode=56136
5,https://www.fishbase.de/Diseases/diseasesList.php?ID=6531&StockCode=6852
6,https://www.fishbase.de/Diseases/diseasesList.php?ID=4306&StockCode=4501
7,https://www.fishbase.de/Diseases/diseasesList.php?ID=23375&StockCode=18564
8,https://www.fishbase.de/Diseases/diseasesList.php?ID=1258&StockCode=1275
9,https://www.fishbase.de/Diseases/diseasesList.php?ID=4744&StockCode=4968
10,https://www.fishbase.de/Diseases/diseasesList.php?ID=1260&StockCode=1277
11,https://www.fishbase.de/Diseases/diseasesList.php?ID=12258&StockCode=12584
12,https://www.fishbase.de/Diseases/diseasesList.php?ID=23581&StockCode=18732
13,https://www.fishbase.de/Diseases/diseasesList.php?ID=23498&StockCode=18666
14,https://www.fishbase.de/Diseases/diseasesList.php?ID=51077&StockCode=42674
15,https://www.fishbase.de/Diseases/diseasesList.php?ID=4683&StockCode=4901
16,https://www.fishbase.de/Diseases/diseasesList.php?ID=2594&StockCode=2790
17,https://www.fishbase.de/Diseases/diseasesList.php?ID=1250&StockCode=1266
18,https://www.fishbase.de/Diseases/diseasesList.php?ID=53698&StockCode=44537
19,https://www.fishbase.de/Diseases/diseasesList.php?ID=1085&StockCode=1101
20,https://www.fishbase.de/Diseases/diseasesList.php?ID=2033&StockCode=2230
21,https://www.fishbase.de/Diseases/diseasesList.php?ID=12938&StockCode=13270
22,https://www.fishbase.de/Diseases/diseasesList.php?ID=1889&StockCode=2085
23,https://www.fishbase.de/Diseases/diseasesList.php?ID=2405&StockCode=2599
24,https://www.fishbase.de/Diseases/diseasesList.php?ID=5229&StockCode=5469
25,https://www.fishbase.de/Diseases/diseasesList.php?ID=11933&StockCode=12259
26,https://www.fishbase.de/Diseases/diseasesList.php?ID=46442&StockCode=39132
27,https://www.fishbase.de/Diseases/diseasesList.php?ID=1580&StockCode=1773
28,https://www.fishbase.de/Diseases/diseasesList.php?ID=8134&StockCode=8445
29,https://www.fishbase.de/Diseases/diseasesList.php?ID=8135&StockCode=8446
30,https://www.fishbase.de/Diseases/diseasesList.php?ID=3615&StockCode=3811
31,https://www.fishbase.de/Diseases/diseasesList.php?ID=11783&StockCode=12108
32,https://www.fishbase.de/Diseases/diseasesList.php?ID=9234&StockCode=9555
33,https://www.fishbase.de/Diseases/diseasesList.php?ID=10910&StockCode=11234
34,https://www.fishbase.de/Diseases/diseasesList.php?ID=3018&StockCode=3214
35,https://www.fishbase.de/Diseases/diseasesList.php?ID=3021&StockCode=3217
36,https://www.fishbase.de/Diseases/diseasesList.php?ID=3022&StockCode=3218
37,https://www.fishbase.de/Diseases/diseasesList.php?ID=4786&StockCode=5010
38,https://www.fishbase.de/Diseases/diseasesList.php?ID=6522&StockCode=6843
39,https://www.fishbase.de/Diseases/diseasesList.php?ID=2024&StockCode=2221
40,https://www.fishbase.de/Diseases/diseasesList.php?ID=495&StockCode=511
41,https://www.fishbase.de/Diseases/diseasesList.php?ID=7380&StockCode=7680
42,https://www.fishbase.de/Diseases/diseasesList.php?ID=23347&StockCode=18545
43,https://www.fishbase.de/Diseases/diseasesList.php?ID=12213&StockCode=12539
44,https://www.fishbase.de/Diseases/diseasesList.php?ID=50260&StockCode=42006
