Activity,Applied stress,Oxygen Consumption at 20°C,Oxygen consumption,Salinity,Temperature,Weight,name
routine,none specified,575.8199999999999,573.225,0.0,19.85,150.39925000000005,Abramis brama
standard,,87.3,197.0,,30.0,15.4,Acanthochromis polyacanthus
routine,none specified,130.85714285714286,197.8095238095238,30.0,25.0,254.0,Acanthopagrus schlegelii
active,other stress,442.0,339.0,,17.0,30.51,Acipenser fulvescens
routine,none specified,452.5,485.375,,20.625,36.048750000000005,Acipenser gueldenstaedtii
routine,none specified,148.3,136.0,,19.0,89.0,Acipenser nudiventris
routine,none specified,178.5,84.75,0.0,14.3,263.5,Acipenser ruthenus
routine,none specified,589.5818181818181,641.9090909090909,,21.06818181818182,1554.7509090909095,Acipenser stellatus
standard*,hypoxia*,149.12,63.8,0.0,12.5,920.0,Acipenser transmontanus
active,other stress,276.0,291.0,,20.6,672.0,Albula vulpes
routine,none specified,292.7,178.25,0.0,14.0,8.755,Alburnus alburnus
standard,none specified,,400.0,,37.0,47.0,Alcolapia grahami
routine,none specified,86.02000000000001,130.0,16.6,25.0,3.0999999999999996,Ambassis interrupta
standard,,147.6,333.0,,30.0,2.4,Amblygobius phalaena
routine*,none specified,960.0333333333333,1217.6666666666667,0.0,21.0,17.933333333333334,Ameiurus melas
routine,none specified,140.4,135.0,0.0,19.666666666666668,9.833333333333334,Ameiurus natalis
standard*,hypoxia*,112.73456790123457,157.69230769230768,0.0,24.67032967032967,110.90659340659337,Ameiurus nebulosus
routine,none specified*,156.82325581395347,312.16279069767444,0.0,28.075581395348838,19.730116279069765,Anabas testudineus
standard,,,35.0,,1.4,27.5,Anarhichas minor
routine,none specified,80.7,122.0,,25.0,5.0,Andinoacara pulcher
standard*,hypoxia*,73.78598726114649,68.4140127388535,8.020979020979022,18.528662420382165,165.20401273885352,Anguilla anguilla
standard*,none specified,29.15,25.5,0.0,18.75,673.25,Anguilla australis
standard*,hypoxia*,45.18529411764706,51.5,0.0,20.073529411764707,318.38235294117646,Anguilla japonica
routine*,,218.78800000000004,191.04,16.57894736842105,16.92,128.25719999999998,Anguilla rostrata
routine,none specified,94.01428571428572,17.5,35.92857142857143,5.0,38.62142857142857,Anoplogaster cornuta
routine,,208.4,39.0,,5.0,1625.0,Anoplopoma fimbria
routine,none specified,466.48,482.6,43.75,20.3,0.5740000000000001,Aphanius dispar
standard,hypoxia*,10.40571428571429,19.942857142857143,0.0,28.0,2299.4285714285716,Arapaima gigas
routine,,1970.7666666666664,2784.0,35.0,24.333333333333332,0.03666666666666667,Argyrosomus japonicus
routine,none specified,76.3,14.0,35.0,5.0,21.1,Aristostomias lunifer
standard,none specified,91.75,53.0,,15.0,47.0,Arnoglossus thori
standard*,none specified*,119.5,19.666666666666668,,3.3333333333333335,33.03333333333334,Artediellus atlanticus
standard*,none specified*,168.2,26.0,,2.125,24.725,Artediellus uncinatus
routine,hypoxia,157.55,238.25,0.0,25.0,5.625,Astatotilapia burtoni
standard,,178.7,403.0,,30.0,1.4,Asterropteryx semipunctata
standard,hypoxia,13.520000000000001,28.4,0.0,29.02,109.2,Astronotus ocellatus
standard,,168.45,380.0,,30.0,3.795,Atrosalarias fuscus
routine,none specified,38.1,7.0,35.0,5.0,24.9,Bajacalifornia burragei
standard,none specified,115.3,95.0,35.0,17.766666666666666,471.6666666666667,Balistes capriscus
routine,none specified,366.7,136.0,35.0,10.0,1.5,Bathylagoides wesethi
standard*,none specified*,,23.0,,0.4,37.075,Bathylagus antarcticus
routine,,,53.0,,0.3,35.3,Benthalbella elongata
standard*,,,53.875,,0.225,28.3725,Boreogadus saida
routine,none specified,128.3,35.5,35.0,7.5,103.85,Borostomias panamensis
routine*,none specified,441.8666666666666,376.2857142857143,27.904761904761905,17.571428571428573,35.413809523809526,Brevoortia tyrannus
standard,none specified,59.25,39.0,,15.0,47.0,Buglossidium luteum
standard*,none specified,163.40714285714287,82.78571428571429,35.0,11.928571428571429,94.75714285714287,Callionymus lyra
routine,none specified,224.9,187.0,0.0,17.9,19.25,Campostoma anomalum
active,other stress,323.3,583.0,,27.2,190.0,Caranx caballus
routine,none specified,365.8,225.0,,14.7,38.3,Caranx hippos
standard,,109.1,192.0,,26.9,56.4,Caranx sexfasciatus
standard*,hypoxia*,165.61973244147163,175.31746031746033,0.012903225806451613,21.26825396825397,58.24304761904753,Carassius auratus
routine,none specified*,162.353125,114.34375,0.0,15.5625,15.643749999999997,Carassius carassius
