,Oxygen_Consumption_Studies
0,https://www.fishbase.de/physiology/OxygenDataList.php?ID=268&GenusName=Abramis&SpeciesName=brama&fc=122&stockcode=282
1,https://www.fishbase.de/physiology/OxygenDataList.php?ID=6655&GenusName=Acanthochromis&SpeciesName=polyacanthus&fc=350&stockcode=6975
2,https://www.fishbase.de/physiology/OxygenDataList.php?ID=6531&GenusName=Acanthopagrus&SpeciesName=schlegelii&fc=330&stockcode=6852
3,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2591&GenusName=Acipenser&SpeciesName=fulvescens&fc=32&stockcode=2787
4,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4712&GenusName=Acipenser&SpeciesName=gueldenstaedtii&fc=32&stockcode=4933
5,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2505&GenusName=Acipenser&SpeciesName=nudiventris&fc=32&stockcode=2699
6,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4604&GenusName=Acipenser&SpeciesName=ruthenus&fc=32&stockcode=4791
7,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2065&GenusName=Acipenser&SpeciesName=stellatus&fc=32&stockcode=2260
8,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2594&GenusName=Acipenser&SpeciesName=transmontanus&fc=32&stockcode=2790
9,https://www.fishbase.de/physiology/OxygenDataList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&stockcode=242
10,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4730&GenusName=Alburnus&SpeciesName=alburnus&fc=122&stockcode=4954
11,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2033&GenusName=Alcolapia&SpeciesName=grahami&fc=349&stockcode=2230
12,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5153&GenusName=Ambassis&SpeciesName=interrupta&fc=509&stockcode=5392
13,https://www.fishbase.de/physiology/OxygenDataList.php?ID=7198&GenusName=Amblygobius&SpeciesName=phalaena&fc=405&stockcode=7327
14,https://www.fishbase.de/physiology/OxygenDataList.php?ID=291&GenusName=Ameiurus&SpeciesName=melas&fc=129&stockcode=305
15,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3021&GenusName=Ameiurus&SpeciesName=natalis&fc=129&stockcode=3217
16,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3022&GenusName=Ameiurus&SpeciesName=nebulosus&fc=129&stockcode=3218
17,https://www.fishbase.de/physiology/OxygenDataList.php?ID=495&GenusName=Anabas&SpeciesName=testudineus&fc=426&stockcode=511
18,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3811&GenusName=Anarhichas&SpeciesName=minor&fc=396&stockcode=4007
19,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4727&GenusName=Andinoacara&SpeciesName=pulcher&fc=349&stockcode=4951
20,https://www.fishbase.de/physiology/OxygenDataList.php?ID=35&GenusName=Anguilla&SpeciesName=anguilla&fc=49&stockcode=45
21,https://www.fishbase.de/physiology/OxygenDataList.php?ID=297&GenusName=Anguilla&SpeciesName=australis&fc=49&stockcode=311
22,https://www.fishbase.de/physiology/OxygenDataList.php?ID=295&GenusName=Anguilla&SpeciesName=japonica&fc=49&stockcode=309
23,https://www.fishbase.de/physiology/OxygenDataList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&fc=49&stockcode=310
24,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2308&GenusName=Anoplogaster&SpeciesName=cornuta&fc=239&stockcode=2504
25,https://www.fishbase.de/physiology/OxygenDataList.php?ID=512&GenusName=Anoplopoma&SpeciesName=fimbria&fc=270&stockcode=528
26,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4813&GenusName=Aphanius&SpeciesName=dispar&fc=212&stockcode=5042
27,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2076&GenusName=Arapaima&SpeciesName=gigas&fc=628&stockcode=2272
28,https://www.fishbase.de/physiology/OxygenDataList.php?ID=11979&GenusName=Argyrosomus&SpeciesName=japonicus&fc=331&stockcode=12305
29,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4814&GenusName=Aristostomias&SpeciesName=lunifer&fc=91&stockcode=5043
30,https://www.fishbase.de/physiology/OxygenDataList.php?ID=43&GenusName=Arnoglossus&SpeciesName=thori&fc=439&stockcode=53
31,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4041&GenusName=Artediellus&SpeciesName=atlanticus&fc=277&stockcode=4237
32,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4043&GenusName=Artediellus&SpeciesName=uncinatus&fc=277&stockcode=4239
33,https://www.fishbase.de/physiology/OxygenDataList.php?ID=6704&GenusName=Astatotilapia&SpeciesName=burtoni&fc=349&stockcode=7025
34,https://www.fishbase.de/physiology/OxygenDataList.php?ID=7200&GenusName=Asterropteryx&SpeciesName=semipunctata&fc=405&stockcode=7330
35,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3612&GenusName=Astronotus&SpeciesName=ocellatus&fc=349&stockcode=3808
36,https://www.fishbase.de/physiology/OxygenDataList.php?ID=17462&GenusName=Atrosalarias&SpeciesName=fuscus&fc=392&stockcode=15642
37,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5200&GenusName=Bajacalifornia&SpeciesName=burragei&fc=86&stockcode=5438
38,https://www.fishbase.de/physiology/OxygenDataList.php?ID=7327&GenusName=Balistes&SpeciesName=capriscus&fc=445&stockcode=7628
39,https://www.fishbase.de/physiology/OxygenDataList.php?ID=12543&GenusName=Bathylagoides&SpeciesName=wesethi&fc=84&stockcode=12875
40,https://www.fishbase.de/physiology/OxygenDataList.php?ID=6960&GenusName=Bathylagus&SpeciesName=antarcticus&fc=84&stockcode=7268
41,https://www.fishbase.de/physiology/OxygenDataList.php?ID=6974&GenusName=Benthalbella&SpeciesName=elongata&fc=174&stockcode=7313
42,https://www.fishbase.de/physiology/OxygenDataList.php?ID=319&GenusName=Boreogadus&SpeciesName=saida&fc=183&stockcode=333
43,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5161&GenusName=Borostomias&SpeciesName=panamensis&fc=91&stockcode=5400
44,https://www.fishbase.de/physiology/OxygenDataList.php?ID=1592&GenusName=Brevoortia&SpeciesName=tyrannus&fc=43&stockcode=1785
45,https://www.fishbase.de/physiology/OxygenDataList.php?ID=53&GenusName=Buglossidium&SpeciesName=luteum&fc=441&stockcode=63
46,https://www.fishbase.de/physiology/OxygenDataList.php?ID=23&GenusName=Callionymus&SpeciesName=lyra&fc=435&stockcode=34
