,Relative_Gill_Area_Studies
0,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4894&GenusName=Acentrogobius&SpeciesName=caninus&fc=405&stockcode=5127
1,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=2065&GenusName=Acipenser&SpeciesName=stellatus&fc=32&stockcode=2260
2,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=99&GenusName=Alepisaurus&SpeciesName=ferox&fc=171&stockcode=113
3,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=1580&GenusName=Alosa&SpeciesName=kessleri&fc=43&stockcode=1773
4,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=3022&GenusName=Ameiurus&SpeciesName=nebulosus&fc=129&stockcode=3218
5,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=495&GenusName=Anabas&SpeciesName=testudineus&fc=426&stockcode=511
6,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=35&GenusName=Anguilla&SpeciesName=anguilla&fc=49&stockcode=45
7,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&fc=49&stockcode=310
8,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=441&GenusName=Archosargus&SpeciesName=probatocephalus&fc=330&stockcode=455
9,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=7327&GenusName=Balistes&SpeciesName=capriscus&fc=445&stockcode=7628
10,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=6377&GenusName=Barbatula&SpeciesName=barbatula&fc=692&stockcode=6696
11,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=3837&GenusName=Bathygobius&SpeciesName=soporator&fc=405&stockcode=4033
12,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4471&GenusName=Blicca&SpeciesName=bjoerkna&fc=122&stockcode=4669
13,https://www.fishbase.de/physiology/GillAreaDataList.php?ID=4901&GenusName=Boleophthalmus&SpeciesName=boddarti&fc=405&stockcode=5134
