,Speed_Measurements
0,https://www.fishbase.de/Physiology/SpeedList.php?ID=268&GenusName=Abramis&SpeciesName=brama
1,https://www.fishbase.de/Physiology/SpeedList.php?ID=89&GenusName=Acanthocybium&SpeciesName=solandri
2,https://www.fishbase.de/Physiology/SpeedList.php?ID=17291&GenusName=Acrossocheilus&SpeciesName=paradoxus
3,https://www.fishbase.de/Physiology/SpeedList.php?ID=4730&GenusName=Alburnus&SpeciesName=alburnus
4,https://www.fishbase.de/Physiology/SpeedList.php?ID=1583&GenusName=Alosa&SpeciesName=pseudoharengus
5,https://www.fishbase.de/Physiology/SpeedList.php?ID=4654&GenusName=Amphiprion&SpeciesName=melanopus
6,https://www.fishbase.de/Physiology/SpeedList.php?ID=418&GenusName=Argyrosomus&SpeciesName=regius
7,https://www.fishbase.de/Physiology/SpeedList.php?ID=93&GenusName=Auxis&SpeciesName=rochei
8,https://www.fishbase.de/Physiology/SpeedList.php?ID=1592&GenusName=Brevoortia&SpeciesName=tyrannus
9,https://www.fishbase.de/Physiology/SpeedList.php?ID=271&GenusName=Carassius&SpeciesName=auratus
10,https://www.fishbase.de/Physiology/SpeedList.php?ID=873&GenusName=Carcharhinus&SpeciesName=leucas
11,https://www.fishbase.de/Physiology/SpeedList.php?ID=877&GenusName=Carcharhinus&SpeciesName=melanopterus
12,https://www.fishbase.de/Physiology/SpeedList.php?ID=751&GenusName=Carcharodon&SpeciesName=carcharias
13,https://www.fishbase.de/Physiology/SpeedList.php?ID=2974&GenusName=Catostomus&SpeciesName=occidentalis
14,https://www.fishbase.de/Physiology/SpeedList.php?ID=90&GenusName=Cetorhinus&SpeciesName=maximus
15,https://www.fishbase.de/Physiology/SpeedList.php?ID=44&GenusName=Chelidonichthys&SpeciesName=cuculus
16,https://www.fishbase.de/Physiology/SpeedList.php?ID=4583&GenusName=Chelon&SpeciesName=ramada
17,https://www.fishbase.de/Physiology/SpeedList.php?ID=3646&GenusName=Chromis&SpeciesName=punctipinnis
18,https://www.fishbase.de/Physiology/SpeedList.php?ID=24&GenusName=Clupea&SpeciesName=harengus
19,https://www.fishbase.de/Physiology/SpeedList.php?ID=6&GenusName=Coryphaena&SpeciesName=hippurus
20,https://www.fishbase.de/Physiology/SpeedList.php?ID=3626&GenusName=Cymatogaster&SpeciesName=aggregata
21,https://www.fishbase.de/Physiology/SpeedList.php?ID=1450&GenusName=Cyprinus&SpeciesName=carpio
22,https://www.fishbase.de/Physiology/SpeedList.php?ID=1364&GenusName=Echiichthys&SpeciesName=vipera
23,https://www.fishbase.de/Physiology/SpeedList.php?ID=3628&GenusName=Embiotoca&SpeciesName=jacksoni
24,https://www.fishbase.de/Physiology/SpeedList.php?ID=258&GenusName=Esox&SpeciesName=lucius
25,https://www.fishbase.de/Physiology/SpeedList.php?ID=96&GenusName=Euthynnus&SpeciesName=affinis
26,https://www.fishbase.de/Physiology/SpeedList.php?ID=69&GenusName=Gadus&SpeciesName=morhua
27,https://www.fishbase.de/Physiology/SpeedList.php?ID=7579&GenusName=Galaxias&SpeciesName=maculatus
28,https://www.fishbase.de/Physiology/SpeedList.php?ID=2420&GenusName=Gasterosteus&SpeciesName=aculeatus
29,https://www.fishbase.de/Physiology/SpeedList.php?ID=2532&GenusName=Ginglymostoma&SpeciesName=cirratum
30,https://www.fishbase.de/Physiology/SpeedList.php?ID=3631&GenusName=Hyperprosopon&SpeciesName=argenteum
31,https://www.fishbase.de/Physiology/SpeedList.php?ID=3633&GenusName=Hypsurus&SpeciesName=caryi
32,https://www.fishbase.de/Physiology/SpeedList.php?ID=217&GenusName=Istiompax&SpeciesName=indica
33,https://www.fishbase.de/Physiology/SpeedList.php?ID=223&GenusName=Kajikia&SpeciesName=audax
