,Eye_Pigment_Records
0,https://www.fishbase.de/physiology/visionlist.php?id=10768
1,https://www.fishbase.de/physiology/visionlist.php?id=6652
2,https://www.fishbase.de/physiology/visionlist.php?id=1119
3,https://www.fishbase.de/physiology/visionlist.php?id=5687
4,https://www.fishbase.de/physiology/visionlist.php?id=5689
5,https://www.fishbase.de/physiology/visionlist.php?id=6655
6,https://www.fishbase.de/physiology/visionlist.php?id=89
7,https://www.fishbase.de/physiology/visionlist.php?id=17471
8,https://www.fishbase.de/physiology/visionlist.php?id=4736
9,https://www.fishbase.de/physiology/visionlist.php?id=1257
10,https://www.fishbase.de/physiology/visionlist.php?id=1258
11,https://www.fishbase.de/physiology/visionlist.php?id=1255
12,https://www.fishbase.de/physiology/visionlist.php?id=6011
13,https://www.fishbase.de/physiology/visionlist.php?id=4744
14,https://www.fishbase.de/physiology/visionlist.php?id=1260
15,https://www.fishbase.de/physiology/visionlist.php?id=1261
16,https://www.fishbase.de/physiology/visionlist.php?id=12258
17,https://www.fishbase.de/physiology/visionlist.php?id=12260
18,https://www.fishbase.de/physiology/visionlist.php?id=12278
19,https://www.fishbase.de/physiology/visionlist.php?id=988
20,https://www.fishbase.de/physiology/visionlist.php?id=3710
21,https://www.fishbase.de/physiology/visionlist.php?id=1583
22,https://www.fishbase.de/physiology/visionlist.php?id=4275
23,https://www.fishbase.de/physiology/visionlist.php?id=11837
24,https://www.fishbase.de/physiology/visionlist.php?id=4654
25,https://www.fishbase.de/physiology/visionlist.php?id=4888
26,https://www.fishbase.de/physiology/visionlist.php?id=1686
27,https://www.fishbase.de/physiology/visionlist.php?id=35
28,https://www.fishbase.de/physiology/visionlist.php?id=296
29,https://www.fishbase.de/physiology/visionlist.php?id=512
30,https://www.fishbase.de/physiology/visionlist.php?id=10766
31,https://www.fishbase.de/physiology/visionlist.php?id=2005
32,https://www.fishbase.de/physiology/visionlist.php?id=4922
33,https://www.fishbase.de/physiology/visionlist.php?id=4690
34,https://www.fishbase.de/physiology/visionlist.php?id=7811
35,https://www.fishbase.de/physiology/visionlist.php?id=40
36,https://www.fishbase.de/physiology/visionlist.php?id=5097
37,https://www.fishbase.de/physiology/visionlist.php?id=11577
38,https://www.fishbase.de/physiology/visionlist.php?id=5247
39,https://www.fishbase.de/physiology/visionlist.php?id=5425
40,https://www.fishbase.de/physiology/visionlist.php?id=3612
41,https://www.fishbase.de/physiology/visionlist.php?id=3235
42,https://www.fishbase.de/physiology/visionlist.php?id=1893
43,https://www.fishbase.de/physiology/visionlist.php?id=1309
