Body weight (W; g),Brain weight (B; mg),Encephalization coefficients,Encephalization coefficients 2,SL (cm),TL (cm),Ref,name
1500.0,1018.0,0.679,,,,,Ablennes hians
75.36666666666666,234.0,3.2133333333333334,,12.85,16.55,,Abudefduf abdominalis
5.0,52.0,10.4,,4.5,6.2,,Abudefduf hoefleri
84.05,358.0,4.29,,12.0,15.8,65872.0,Abudefduf saxatilis
200.0,304.0,1.52,,,,,Abudefduf septemfasciatus
34.775,150.5,6.322500000000001,,9.5,12.75,104901.0,Abudefduf sexfasciatus
200.0,400.0,2.0,,16.5,20.1,,Abudefduf sordidus
13.8,99.0,7.17,,,,,Abudefduf vaigiensis
165.0,377.0,2.29,,15.0,21.0,,Abudefduf whitleyi
12200.0,1863.0,0.153,,118.0,130.0,,Acanthocybium solandri
88.475,62.8,1.3140000000000003,,,22.65,11344.0,Acanthogobius flavimanus
2.3,6.2,2.7,,,,101308.0,Acanthonus armatus
68.33333333333333,219.33333333333334,12.313333333333333,,8.4,5.15,,Acanthopagrus bifasciatus
320.0,466.0,1.46,,,,104901.0,Acanthostracion polygonius
235.0,564.5,2.715,,17.55,21.0,,Acanthurus achilles
106.3,431.6666666666667,4.390000000000001,,,,118717.0,Acanthurus bahianus
35.0,218.0,6.23,,,,104901.0,Acanthurus chirurgus
118.0,490.0,4.15,,,,104901.0,Acanthurus coeruleus
451.3333333333333,672.6666666666666,2.063333333333333,,17.95,23.5,,Acanthurus dussumieri
288.0,662.0,2.3,,17.5,21.6,,Acanthurus guttatus
227.0,519.0,2.29,,16.2,20.0,,Acanthurus leucopareius
310.0,596.0,1.92,,18.2,,,Acanthurus leucosternon
278.5,564.0,2.035,,19.75,26.35,,Acanthurus lineatus
255.9333333333333,483.8333333333333,3.3516666666666666,,16.933333333333334,25.5,,Acanthurus mata
264.0,547.5,3.0300000000000002,,21.0,16.0,,Acanthurus nigricans
265.0,400.0,1.51,,18.5,26.0,,Acanthurus nigricauda
48.925,217.5,6.9,,9.65,13.966666666666667,,Acanthurus nigrofuscus
98.7,373.0,3.78,,,,,Acanthurus nigroris
296.3333333333333,625.3333333333334,2.1466666666666665,,21.033333333333335,28.233333333333334,,Acanthurus olivaceus
154.0,404.0,2.62,,14.5,20.5,,Acanthurus pyroferus
149.0,368.0,2.5149999999999997,,15.0,20.1,,Acanthurus thompsoni
106.3,431.6666666666667,4.4,,,,52862.333333333336,Acanthurus tractus
72.74,272.0,4.1579999999999995,,,,104901.0,Acanthurus triostegus
677.25,537.3333333333334,3.4453333333333327,,19.616666666666667,26.9,,Acanthurus xanthopterus
18.9,44.175,3.9274999999999998,,,13.0,11344.0,Acentrogobius caninus
2.72,13.299999999999999,6.376666666666666,,,8.0,11344.0,Acentrogobius moloanus
34.8,66.05,5.565,,,18.0,11344.0,Acentrogobius nebulosus
22.160000000000004,35.8,2.688,,,16.5,11344.0,Acentrogobius viridipunctatus
3520.0,650.0,0.185,,,,36657.0,Acipenser transmontanus
350.0,2230.0,6.37,,,,118717.0,Acroteriobatus annulatus
7.0,117.0,16.7,,,,36657.0,Adontosternarchus balaenops
1.9,20.0,10.5,,,,,Aeoliscus strigatus
12000.0,22400.0,1.87,,,,118717.0,Aetobatus narinari
16.7,28.5,1.71,,,11.0,11344.0,Afurcagobius tamarensis
8.0,42.5,5.45,,9.4,12.0,,Agonus cataphractus
120.0,504.0,4.2,,19.0,22.0,,Alepes djedaba
1515.6,650.24,1.4507999999999999,,49.2,54.6,,Alepocephalus bairdii
906.25,461.0,0.52275,,41.0,46.166666666666664,,Alepocephalus rostratus
62730.0,31050.0,0.495,,,,101297.0,Alopias superciliosus
5830.0,11130.0,1.91,,,,117392.0,Alopias vulpinus
725.0,430.0,0.6835,,23.0,50.0,,Alosa alosa
84.0,234.0,2.79,,,,,Alosa caspia
600.0,452.0,0.753,,36.0,42.0,,Alosa fallax
