,Relationship_Between_Fish_Brain_Weights_And_Body_Weights
0,https://www.fishbase.de/physiology/BrainsDataList.php?ID=972&GenusName=Ablennes&SpeciesName=hians&fc=207
1,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6652&GenusName=Abudefduf&SpeciesName=abdominalis&fc=350
2,https://www.fishbase.de/physiology/BrainsDataList.php?ID=11811&GenusName=Abudefduf&SpeciesName=hoefleri&fc=350
3,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1119&GenusName=Abudefduf&SpeciesName=saxatilis&fc=350
4,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5687&GenusName=Abudefduf&SpeciesName=septemfasciatus&fc=350
5,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5688&GenusName=Abudefduf&SpeciesName=sexfasciatus&fc=350
6,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5689&GenusName=Abudefduf&SpeciesName=sordidus&fc=350
7,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6630&GenusName=Abudefduf&SpeciesName=vaigiensis&fc=350
8,https://www.fishbase.de/physiology/BrainsDataList.php?ID=9626&GenusName=Abudefduf&SpeciesName=whitleyi&fc=350
9,https://www.fishbase.de/physiology/BrainsDataList.php?ID=89&GenusName=Acanthocybium&SpeciesName=solandri&fc=416
10,https://www.fishbase.de/physiology/BrainsDataList.php?ID=3832&GenusName=Acanthogobius&SpeciesName=flavimanus&fc=405
11,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8943&GenusName=Acanthonus&SpeciesName=armatus&fc=186
12,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4543&GenusName=Acanthopagrus&SpeciesName=bifasciatus&fc=330
13,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4287&GenusName=Acanthostracion&SpeciesName=polygonius&fc=446
14,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4306&GenusName=Acanthurus&SpeciesName=achilles&fc=412
15,https://www.fishbase.de/physiology/BrainsDataList.php?ID=68792&GenusName=Acanthurus&SpeciesName=bahianus&fc=412
16,https://www.fishbase.de/physiology/BrainsDataList.php?ID=943&GenusName=Acanthurus&SpeciesName=chirurgus&fc=412
17,https://www.fishbase.de/physiology/BrainsDataList.php?ID=944&GenusName=Acanthurus&SpeciesName=coeruleus&fc=412
18,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1256&GenusName=Acanthurus&SpeciesName=dussumieri&fc=412
19,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4736&GenusName=Acanthurus&SpeciesName=guttatus&fc=412
20,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4737&GenusName=Acanthurus&SpeciesName=leucopareius&fc=412
21,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1257&GenusName=Acanthurus&SpeciesName=leucosternon&fc=412
22,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1258&GenusName=Acanthurus&SpeciesName=lineatus&fc=412
23,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1255&GenusName=Acanthurus&SpeciesName=mata&fc=412
24,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6011&GenusName=Acanthurus&SpeciesName=nigricans&fc=412
25,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4747&GenusName=Acanthurus&SpeciesName=nigricauda&fc=412
26,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4739&GenusName=Acanthurus&SpeciesName=nigrofuscus&fc=412
27,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4738&GenusName=Acanthurus&SpeciesName=nigroris&fc=412
28,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4744&GenusName=Acanthurus&SpeciesName=olivaceus&fc=412
29,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4742&GenusName=Acanthurus&SpeciesName=pyroferus&fc=412
30,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4734&GenusName=Acanthurus&SpeciesName=thompsoni&fc=412
31,https://www.fishbase.de/physiology/BrainsDataList.php?ID=942&GenusName=Acanthurus&SpeciesName=tractus&fc=412
32,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1260&GenusName=Acanthurus&SpeciesName=triostegus&fc=412
33,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1261&GenusName=Acanthurus&SpeciesName=xanthopterus&fc=412
34,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4894&GenusName=Acentrogobius&SpeciesName=caninus&fc=405
35,https://www.fishbase.de/physiology/BrainsDataList.php?ID=23582&GenusName=Acentrogobius&SpeciesName=moloanus&fc=405
36,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7228&GenusName=Acentrogobius&SpeciesName=nebulosus&fc=405
37,https://www.fishbase.de/physiology/BrainsDataList.php?ID=15776&GenusName=Acentrogobius&SpeciesName=viridipunctatus&fc=405
38,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2594&GenusName=Acipenser&SpeciesName=transmontanus&fc=32
39,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5509&GenusName=Acroteriobatus&SpeciesName=annulatus&fc=17
40,https://www.fishbase.de/physiology/BrainsDataList.php?ID=27834&GenusName=Adontosternarchus&SpeciesName=balaenops&fc=545
41,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6503&GenusName=Aeoliscus&SpeciesName=strigatus&fc=256
42,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1250&GenusName=Aetobatus&SpeciesName=narinari&fc=717
43,https://www.fishbase.de/physiology/BrainsDataList.php?ID=52422&GenusName=Afurcagobius&SpeciesName=tamarensis&fc=405
44,https://www.fishbase.de/physiology/BrainsDataList.php?ID=36&GenusName=Agonus&SpeciesName=cataphractus&fc=283
45,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1889&GenusName=Alepes&SpeciesName=djedaba&fc=314
46,https://www.fishbase.de/physiology/BrainsDataList.php?ID=230&GenusName=Alepocephalus&SpeciesName=bairdii&fc=86
47,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5071&GenusName=Alepocephalus&SpeciesName=rostratus&fc=86
48,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2534&GenusName=Alopias&SpeciesName=superciliosus&fc=486
49,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2535&GenusName=Alopias&SpeciesName=vulpinus&fc=486
50,https://www.fishbase.de/physiology/BrainsDataList.php?ID=101&GenusName=Alosa&SpeciesName=alosa&fc=43
51,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1577&GenusName=Alosa&SpeciesName=caspia&fc=43
52,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5355&GenusName=Alosa&SpeciesName=fallax&fc=43
53,https://www.fishbase.de/physiology/BrainsDataList.php?ID=105&GenusName=Alosa&SpeciesName=immaculata&fc=43
54,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8135&GenusName=Altolamprologus&SpeciesName=compressiceps&fc=349
55,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4275&GenusName=Aluterus&SpeciesName=scriptus&fc=517
56,https://www.fishbase.de/physiology/BrainsDataList.php?ID=3615&GenusName=Amatitlania&SpeciesName=nigrofasciata&fc=349
57,https://www.fishbase.de/physiology/BrainsDataList.php?ID=15855&GenusName=Amblychaeturichthys&SpeciesName=hexanema&fc=405
58,https://www.fishbase.de/physiology/BrainsDataList.php?ID=15856&GenusName=Amblychaeturichthys&SpeciesName=sciistius&fc=405
59,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5829&GenusName=Amblycirrhitus&SpeciesName=bimacula&fc=352
60,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6671&GenusName=Amblyeleotris&SpeciesName=guttata&fc=405
61,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6520&GenusName=Amblyeleotris&SpeciesName=japonica&fc=405
62,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7195&GenusName=Amblyeleotris&SpeciesName=steinitzi&fc=405
63,https://www.fishbase.de/physiology/BrainsDataList.php?ID=12699&GenusName=Amblyeleotris&SpeciesName=sungami&fc=405
64,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1501&GenusName=Amblygaster&SpeciesName=sirm&fc=43
65,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5477&GenusName=Amblyglyphidodon&SpeciesName=curacao&fc=350
66,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5691&GenusName=Amblyglyphidodon&SpeciesName=leucogaster&fc=350
67,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6675&GenusName=Amblygobius&SpeciesName=albimaculatus&fc=405
68,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7198&GenusName=Amblygobius&SpeciesName=phalaena&fc=405
