name,Brain weight (mg),SL (cm),TL (cm),speed,Oxygen Consumption at 20°C,Weight,predators
Aaptosyax grypus,,,,,,,
Abalistes filamentosus,,,,,,,
Abalistes stellaris,,,,,,,
Abalistes stellatus,,,,,,,
Abbottina rivularis,,,,,,,
Ablabys binotatus,,,,,,,
Ablabys macracanthus,,,,,,,
Ablabys taenianotus,,,,,,,
Ablennes hians,1018.0,,,,,1500.0,"['Anous stolidus', 'Sterna fuscata', 'Sphyraena barracuda']"
Aboma etheostoma,,,,,,,
Abramis brama,,,,0.98,575.8199999999998,,"['Anguilla anguilla', 'Triplophysa strauchii', 'Esox lucius', 'Perca schrenkii', 'Sander lucioperca']"
Abramites hypselonotus,,,,,,,
Abudefduf abdominalis,234.0,12.85,16.55,,,75.36666666666666,
Abudefduf bengalensis,,,,,,,
Abudefduf concolor,,,,,,,
Abudefduf conformis,,,,,,,
Abudefduf declivifrons,,,,,,,
Abudefduf hoefleri,52.0,4.5,6.2,,,5.0,
Abudefduf lorenzi,,,,,,,
Abudefduf margariteus,,,,,,,
Abudefduf natalensis,,,,,,,
Abudefduf notatus,,,,,,,
Abudefduf saxatilis,358.0,12.0,15.8,,,84.05,"['Plectropomus leopardus', 'Thalassoma bifasciatum', 'Cephalopholis cruentata', 'Epinephelus striatus', 'Mycteroperca venenosa', 'Rachycentron canadum']"
Abudefduf septemfasciatus,304.0,,,,,200.0,
Abudefduf sexfasciatus,150.5,9.5,12.75,,,34.775,
Abudefduf sordidus,400.0,16.5,20.1,,,200.0,
Abudefduf sparoides,,,,,,,
Abudefduf taurus,,,,,,,
Abudefduf troschelii,,,,,,,['Holacanthus passer']
Abudefduf vaigiensis,99.0,,,,,13.8,['Lobotes surinamensis']
Abudefduf whitleyi,377.0,15.0,21.0,,,165.0,
Acanthaluteres brownii,,,,,,,
Acanthaluteres spilomelanurus,,,,,,,
Acanthaluteres vittiger,,,,,,,
Acanthaphritis barbata,,,,,,,
Acanthaphritis ozawai,,,,,,,
Acantharchus pomotis,,,,,,,
Acanthemblemaria aspera,,,,,,,
Acanthemblemaria atrata,,,,,,,
Acanthemblemaria balanorum,,,,,,,
Acanthemblemaria betinensis,,,,,,,
Acanthemblemaria castroi,,,,,,,
Acanthemblemaria chaplini,,,,,,,
Acanthemblemaria crockeri,,,,,,,
Acanthemblemaria exilispinus,,,,,,,
Acanthemblemaria greenfieldi,,,,,,,
Acanthemblemaria hancocki,,,,,,,
Acanthemblemaria hastingsi,,,,,,,
Acanthemblemaria macrospilus,,,,,,,
Acanthemblemaria mangognatha,,,,,,,
Acanthemblemaria maria,,,,,,,
Acanthemblemaria medusa,,,,,,,
Acanthemblemaria paula,,,,,,,
Acanthemblemaria rivasi,,,,,,,
Acanthemblemaria spinosa,,,,,,,
Acanthemblemaria stephensi,,,,,,,
Acanthicus adonis,,,,,,,
Acanthistius brasilianus,,,,,,,['Phalacrocorax atriceps']
Acanthistius cinctus,,,,,,,
Acanthistius fuscus,,,,,,,
Acanthistius joanae,,,,,,,
Acanthistius ocellatus,,,,,,,
Acanthistius pardalotus,,,,,,,
Acanthistius patachonicus,,,,,,,
Acanthistius paxtoni,,,,,,,
Acanthistius pictus,,,,,,,
Acanthistius sebastoides,,,,,,,"['Carcharhinus brachyurus', 'Carcharhinus obscurus']"
Acanthistius serratus,,,,,,,
Acanthobrama centisquama,,,,,,,
Acanthobrama lissneri,,,,,,,
Acanthobrama marmid,,,,,,,
Acanthobrama microlepis,,,,,,,
Acanthobrama tricolor,,,,,,,
Acanthocepola abbreviata,,,,,,,
Acanthocepola krusensternii,,,,,,,
Acanthocepola limbata,,,,,,,
Acanthochaenus luetkenii,,,,,,,
Acanthochromis polyacanthus,,,,,87.3,,['Plectropomus  leopardus']
Acanthoclinus fuscus,,,,,,,
Acanthoclinus littoreus,,,,,,,
Acanthoclinus marilynae,,,,,,,
Acanthoclinus rua,,,,,,,
Acanthocobitis botia,,,,,,,
Acanthocobitis urophthalmus,,,,,,,
Acanthocybium solandri,1863.0,118.0,130.0,13.38,,12200.0,['Carcharhinus albimarginatus']
Acanthodoras cataphractus,,,,,,,
Acanthodoras spinosissimus,,,,,,,
Acanthogobius flavimanus,62.8,,22.65,,,88.475,"['Lophius litulon', 'Okamejei kenojei', 'Sillago japonica', 'Triakis semifasciata', 'Acanthogobius lactipes', 'Lateolabrax japonicus']"
Acantholabrus palloni,,,,,,,
Acantholiparis opercularis,,,,,,,
Acantholumpenus mackayi,,,,,,,['Hemitripterus villosus']
Acanthonus armatus,6.2,,,,,2.3,
Acanthopagrus arabicus,,,,,,,
Acanthopagrus australis,,,,,,,
Acanthopagrus berda,,,,,,,"['Haliaeetus vocifer', 'Carcharhinus limbatus', 'Crocodylus niloticus', 'Hydroprogne tschegrava']"
Acanthopagrus bifasciatus,219.33333333333331,8.4,5.15,,,68.33333333333333,
Acanthopagrus butcheri,,,,,,,
Acanthopagrus catenula,,,,,,,
Acanthopagrus chinshira,,,,,,,
Acanthopagrus latus,,,,,,,
Acanthopagrus longispinnis,,,,,,,
Acanthopagrus morrisoni,,,,,,,
Acanthopagrus omanensis,,,,,,,
Acanthopagrus pacificus,,,,,,,
Acanthopagrus palmaris,,,,,,,
Acanthopagrus randalli,,,,,,,
Acanthopagrus schlegelii,,,,,130.85714285714286,,
Acanthopagrus sheim,,,,,,,
Acanthopagrus sivicolus,,,,,,,
Acanthopagrus taiwanensis,,,,,,,
Acanthopagrus vagus,,,,,,,
Acanthoplesiops cappuccino,,,,,,,
Acanthoplesiops echinatus,,,,,,,
Acanthoplesiops hiatti,,,,,,,
Acanthoplesiops indicus,,,,,,,
Acanthoplesiops naka,,,,,,,
Acanthoplesiops psilogaster,,,,,,,
Acanthopsetta nadeshnyi,,,,,,,
Acanthorhodeus chankaensis,,,,,,,
Acanthosphex leurynnis,,,,,,,
Acanthostracion notacanthus,,,,,,,
Acanthostracion polygonius,466.0,,,,,320.0,
Acanthostracion quadricornis,,,,,,,
Acanthurus achilles,564.5,17.55,21.0,,,235.0,
Acanthurus albimento,,,,,,,
Acanthurus albipectoralis,,,,,,,
Acanthurus auranticavus,,,,,,,
Acanthurus bahianus,431.66666666666674,,,,,106.3,
Acanthurus bariene,,,,,,,
Acanthurus blochii,,,,,,,
Acanthurus chirurgus,218.0,,,,,35.0,['Thunnus albacares']
Acanthurus chronixis,,,,,,,
Acanthurus coeruleus,490.0,,,,,118.0,"['Thunnus albacares', 'Mycteroperca tigris', 'Caranx ruber']"
Acanthurus dussumieri,672.6666666666666,17.95,23.5,,,451.33333333333326,
Acanthurus fowleri,,,,,,,
Acanthurus gahhm,,,,,,,
Acanthurus grammoptilus,,,,,,,
Acanthurus guttatus,662.0,17.5,21.6,,,288.0,
Acanthurus japonicus,,,,,,,
Acanthurus leucocheilus,,,,,,,
Acanthurus leucopareius,519.0,16.2,20.0,,,227.0,
Acanthurus leucosternon,596.0,18.2,,,,310.0,
Acanthurus lineatus,564.0,19.75,26.35,,,278.5,['Epinephelus merra']
Acanthurus maculiceps,,,,,,,
Acanthurus mata,483.83333333333326,16.933333333333334,25.5,,,255.9333333333333,
Acanthurus monroviae,,,,,,,
Acanthurus nigricans,547.5,21.0,16.0,,,264.0,
Acanthurus nigricauda,400.0,18.5,26.0,,,265.0,
Acanthurus nigrofuscus,217.5,9.65,13.966666666666667,,,48.925,"['Aulostomus chinensis', 'Cephalopholis argus', 'Cephalopholis miniata']"
Acanthurus nigroris,373.0,,,,,98.7,['Caranx melampygus']
Acanthurus nubilus,,,,,,,
Acanthurus olivaceus,625.3333333333334,21.033333333333328,28.23333333333333,,,296.3333333333333,
Acanthurus polyzona,,,,,,,
Acanthurus pyroferus,404.0,14.5,20.5,,,154.0,
Acanthurus randalli,,,,,,,
Acanthurus sohal,,,,,,,
Acanthurus tennentii,,,,,,,
Acanthurus thompsoni,368.0,15.0,20.1,,,149.0,
Acanthurus tractus,431.66666666666674,,,,,106.3,"['Lutjanus analis', 'Mycteroperca tigris', 'Mycteroperca venenosa', 'Aulostomus maculatus', 'Sphyraena barracuda']"
Acanthurus triostegus,272.0,,,,,72.74,"['Cephalopholis argus', 'Conger cinereus', 'Fistularia petimba', 'Lutjanus fulvus', 'Epinephelus merra']"
Acanthurus tristis,,,,,,,
Acanthurus xanthopterus,537.3333333333334,19.616666666666667,26.9,,,677.25,
Acantopsis dialuzona,,,,,,,
Acantopsis dinema,,,,,,,
Acantopsis ioa,,,,,,,
Acantopsis rungthipae,,,,,,,
Acarichthys heckelii,,,,,,,
Acarobythites larsonae,,,,,,,
Acaronia nassa,,,,,,,
Acentrogobius audax,,,,,,,
